1571051427,0,3,3,"CQ,C10,CK,C2;D9,DJ,DQ,D8;C3,CA,C7,CJ;SJ,S9,S2,SA;SK,S3,S8,S5;C6,C4,H10,C5;HQ,HJ,H3,C9;H5,HK,H9,HA;S10,H4,H6,H2;S4,D6,D7,D2;D10,S6,DK,DA;D4,SQ,S7,H8;D5,C8,D3,H7"
1571051427,0,0,3,"C7,C8,C4,C2;S5,S10,SQ,S3;D9,D6,DJ,D3;SK,S9,S2,SA;CA,CQ,C3,C6;D4,D7,H3,DA;HQ,H9,H7,HJ;C9,S7,D10,D2;S4,H6,S6,SJ;HA,H10,H5,HK;C10,H8,H2,S8;CJ,CK,D8,DK;H4,C5,DQ,D5"
1571051427,0,17,3,"CJ,C3,C9,C2;S2,S10,SJ,S6;D9,DA,D10,D6;S5,H10,S3,S9;S8,D3,S4,SA;H8,H7,SK,SQ;CA,C6,C4,C8;HJ,D7,D8,DQ;H4,D5,H2,H5;CK,D4,H3,HA;C7,DJ,H9,HQ;CQ,D2,HK,H6;S7,C5,DK,C10"
1571051427,0,0,3,"C3,CQ,CA,C2;S2,S4,SA,SQ;DQ,DJ,D10,D6;SJ,S9,S8,S7;D8,D7,D2,D5;D3,HQ,DA,D4;CJ,CK,C8,C4;H3,C7,HA,C10;H9,HK,H7,H10;H8,HJ,H4,D9;S10,C5,S3,C6;S6,H5,S5,SK;H2,C9,H6,DK"
1571051427,0,0,3,"CJ,C9,CQ,C2;CA,C5,C10,C3;S10,S3,S6,S4;D8,DQ,D6,D5;SA,S2,S7,S5;C6,H3,C4,CK;H8,H7,H10,HQ;DA,D7,D9,D4;D10,SJ,S8,SQ;H4,HJ,H9,H2;HK,HA,D3,C7;S9,D2,H6,C8;H5,DK,DJ,SK"
1571051427,0,20,3,"C3,C8,C9,C2;D7,D8,DA,D3;C4,CK,C5,C7;SA,S6,S5,S9;H5,D6,D4,D9;H4,H8,HQ,HK;SK,H9,H6,H3;D2,D5,S2,DK;H10,H2,S3,H7;SJ,CQ,S10,S4;C6,SQ,S8,CJ;CA,DJ,S7,DQ;C10,HJ,HA,D10"
