1571051205,0,1,0,"C10,C7,C9,C2;CJ,S4,C4,C5;S9,S7,S10,SQ;D10,DJ,D2,D9;D3,D7,DA,DK;SA,S2,C8,S3;D5,D8,S8,D6;H10,CA,C3,CQ;HJ,H4,H9,H5;H2,S6,HA,S5;CK,H7,H6,H8;D4,H3,HQ,HK;DQ,SK,C6,SJ"
1571051205,0,4,0,"C3,C6,CA,C2;C7,C5,S6,C10;H2,SQ,S7,SJ;HQ,H4,H9,H3;D8,D5,SK,D4;C4,S10,S3,SA;H6,S2,HA,S5;C9,CJ,DA,CQ;D7,S8,D10,D9;HK,H5,H7,H8;DK,S9,HJ,CK;DQ,H10,DJ,C8;D6,S4,D3,D2"
1571051205,0,0,0,"CQ,CA,C8,C2;SA,SQ,SK,S9;C3,C6,C5,C9;C7,CK,D7,C10;DQ,D10,D2,D6;S8,D3,D8,DJ;SJ,S5,S3,S2;C4,DK,H8,CJ;H3,HQ,H9,H10;HJ,S10,S7,S4;H6,H4,H5,H7;H2,D9,D4,HA;D5,S6,DA,HK"
1571051205,0,26,0,"C8,C9,CJ,C2;DK,D6,D10,DJ;D7,D9,D5,DA;SQ,S4,S8,SK;CK,SA,S7,S3;S9,SJ,DQ,S2;C10,C4,CA,CQ;S10,HJ,D4,S6;C3,H5,S5,C6;D2,HA,H6,D8;H4,H8,H7,H10;C7,H9,H2,HK;C5,H3,HQ,D3"
1571051205,0,19,0,"C9,C5,C10,C2;D6,DA,DK,D4;S4,S8,S9,S6;SQ,S10,S5,S2;D5,D9,D2,D10;H2,H8,SK,SA;H9,H6,H3,HJ;CQ,CK,CA,C7;H7,HK,D3,H4;C8,CJ,S3,C4;H5,C3,D8,HQ;SJ,C6,DJ,H10;S7,D7,DQ,HA"
1571051205,0,24,0,"C9,C6,C3,C2;SJ,SQ,S9,S10;SK,S2,S5,S7;C8,C7,C5,CK;D10,DQ,D8,D4;D3,D2,D6,D5;HA,SA,S3,S4;C4,HQ,C10,CJ;H10,H2,CA,CQ;H9,H5,H4,H7;HJ,S6,DJ,S8;DK,H8,H3,HK;D9,H6,D7,DA"
1571051205,0,11,0,"CK,C6,C9,C2;D3,DK,DJ,D4;C4,CA,C3,CJ;DA,D2,D6,D7;SJ,S3,S9,S4;C8,C5,C7,C10;HA,S7,S2,SQ;H8,SK,D10,CQ;H4,H3,H6,H5;HQ,H10,HJ,HK;S5,H2,D5,S6;S8,D8,H7,S10;H9,D9,DQ,SA"
1571051205,0,22,0,"CA,C9,C7,C2;D8,DQ,D3,D2;C8,C10,C6,C4;S3,SK,S7,S2;C5,DJ,CQ,C3;D6,D5,D7,DA;S4,S6,SQ,S8;S9,S5,S10,SJ;D4,D9,H10,D10;HQ,HJ,H8,HA;H5,H3,H6,H4;HK,H7,SA,H9;CK,CJ,H2,DK"
