1569978248,0,13,0,"C2,CA,CJ,C10;S6,S8,S10,S9;D8,DK,D3,D4;C9,C3,C8,C6;DJ,DA,D5,D7;C5,CK,C4,SK;SA,SJ,SQ,C7;S5,S7,S4,CQ;D9,S3,DQ,D10;S2,H10,H5,HQ;D6,H3,H6,H2;D2,HK,H7,H4;HA,H9,H8,HJ"
1569978248,0,8,0,"C2,C9,CK,C3;C10,C4,CQ,C5;S10,S2,S8,S9;S5,D10,S4,SA;DJ,D7,DQ,D9;CA,CJ,C8,SQ;D2,D5,DK,D4;D6,D8,DA,D3;C7,C6,S7,S3;SJ,H6,SK,S6;H2,H5,H9,H8;HJ,H4,HA,HK;H3,H10,HQ,H7"
1569978248,0,4,0,"C2,C3,C9,C4;SJ,S5,S10,S8;S9,S7,D9,D2;S6,S3,D5,C5;DA,D7,D10,DK;SK,S2,CJ,D3;S4,SQ,C10,D8;C7,CQ,C8,HA;SA,DQ,CA,H4;DJ,H6,D6,HK;CK,H7,C6,H8;D4,H5,HJ,H3;H9,H10,H2,HQ"
1569978248,0,26,0,"C2,CQ,D9,C4;C6,C9,S5,C7;D2,D5,DK,DQ;SJ,S10,S3,S2;D4,DA,D10,D7;SA,S6,S9,S4;H7,HA,H2,H4;S8,H5,C10,CA;SQ,H6,C8,C5;SK,HK,D6,CJ;S7,HQ,H9,C3;CK,H8,D3,DJ;D8,HJ,H3,H10"
1569978248,0,18,0,"C2,CA,CK,C9;SA,S7,SJ,S6;S9,S2,S5,C7;S8,D5,S4,C3;C5,D2,C6,CJ;D3,D10,DA,S3;DJ,D8,S10,DQ;D6,D4,C4,D9;SK,H9,C10,D7;SQ,H7,H2,DK;CQ,H8,H5,C8;H10,HA,HQ,H3;H6,H4,HJ,HK"
1569978248,0,26,0,"C2,C5,CK,C7;S10,S2,S6,S9;D3,D10,D5,DJ;C10,SQ,C3,CJ;D7,DK,D2,D4;SK,S8,C9,S3;D6,D8,C8,D9;HA,HK,HQ,H3;H10,H2,H8,H7;H5,DQ,C4,H4;HJ,SA,C6,S4;H6,S7,CA,SJ;H9,DA,CQ,S5"
1569978248,0,15,0,"C2,C9,CJ,C8;D4,D8,D7,DJ;S5,S2,S10,S6;D10,DK,D6,D3;S8,SJ,C5,S4;C6,C3,CA,CK;D9,DA,D2,DQ;C4,D5,C7,C10;SK,HJ,SQ,H6;S7,H2,S9,H8;HA,HQ,HK,H3;CQ,H9,SA,H10;H5,H7,S3,H4"
