1571051316,0,17,1,"CJ,C8,C3,C2;S6,S3,S9,S4;CA,C5,C7,C10;S2,S7,SK,S10;C4,SQ,C6,C9;S5,DA,CK,S8;SJ,HK,D10,SA;H10,H2,H5,H7;D4,DJ,D6,D5;HJ,H6,HQ,H4;H3,HA,D9,H9;DK,D3,D7,D8;H8,D2,CQ,DQ"
1571051316,0,1,1,"D2,C7,C8,C2;S7,SQ,S10,SK;S4,S3,S5,S8;D3,D10,DJ,D7;C9,C3,S2,CK;D4,C4,HQ,CA;H8,H10,H3,H6;D9,HJ,H4,C5;SA,S9,DQ,CJ;DK,HA,DA,D5;C10,H5,H2,SJ;C6,D6,H7,S6;CQ,H9,HK,D8"
1571051316,0,6,1,"CK,CA,C3,C2;D7,D9,D4,DJ;D3,D10,DQ,D2;S8,S4,S2,S3;HQ,DA,H8,D8;H5,H10,H9,HJ;C6,D5,C7,C8;SK,S5,C10,S7;HK,H2,H6,H4;CQ,H7,SQ,SA;CJ,C9,SJ,S9;S6,HA,DK,S10;D6,C5,C4,H3"
1571051316,0,3,1,"C6,C4,C3,C2;D7,D4,DA,D2;C9,D10,CQ,C7;S9,SQ,SJ,SA;SK,S3,H4,S8;C10,H7,CA,C8;S6,H2,D5,S2;HA,DJ,DQ,CK;DK,HJ,H3,C5;H6,H10,S7,S10;D9,H9,H8,CJ;D3,HK,D8,H5;S5,S4,D6,HQ"
1571051316,0,4,1,"CQ,C9,C7,C2;DQ,D2,D8,D7;HK,DK,D3,DA;H3,HQ,H8,H5;HJ,H4,H7,H2;SQ,S9,S8,SK;D6,C6,SA,D4;CJ,C4,D5,C8;CK,S4,S5,S10;H10,S6,S7,SJ;C10,D10,H9,S2;C3,DJ,C5,S3;HA,D9,H6,CA"
1571051316,0,7,1,"C8,CK,C3,C2;S10,S4,SJ,S2;C9,CJ,CQ,C7;D2,D3,DA,D8;S3,C5,C10,C4;SK,SQ,S7,S5;HA,H3,C6,CA;H9,H8,HJ,H5;DQ,D7,D5,D9;H4,DK,H7,H6;D10,DJ,D4,D6;S6,S8,HQ,HK;SA,S9,H10,H2"
1571051316,0,1,1,"C8,CA,C7,C2;SJ,S10,S2,S6;D8,D6,D7,D4;S5,S8,HJ,SK;HK,H9,H7,H8;SA,H6,S3,S4;CJ,C10,CQ,CK;D9,H5,H3,H2;SQ,H4,DQ,H10;S9,HQ,C9,S7;D3,C6,HA,C3;D10,D2,DK,DJ;C5,D5,C4,DA"
1571051316,0,11,1,"C3,C6,CA,C2;S5,SJ,SA,SQ;S3,HK,CK,S4;H7,HJ,H8,H3;C8,S9,D3,CJ;D5,DK,D4,D6;D8,H10,H5,H6;DJ,D9,D7,D2;H4,D10,C5,C4;H9,H2,S2,HA;C7,S10,DQ,CQ;C10,S7,S6,C9;S8,SK,DA,HQ"
1571051316,0,0,1,"C5,CJ,C3,C2;S3,SJ,S6,S10;C8,CK,C6,C10;SK,S7,H6,SQ;H8,H7,H9,H5;S4,C4,H3,S2;D2,HQ,H10,HA;DJ,D6,D9,D3;DK,DA,D5,D8;S9,C9,HK,S8;C7,DQ,S5,SA;CA,D7,H4,H2;D10,D4,CQ,HJ"
1571051316,0,0,1,"C4,CJ,C7,C2;D7,CQ,D8,D5;D10,DK,S7,DQ;C5,SK,CK,C10;HJ,C3,DA,D6;H2,H10,H7,H3;H6,H4,H5,H8;S4,SA,S6,S5;S10,S2,S9,SQ;D4,HA,C8,D9;D3,S3,H9,HQ;D2,C9,HK,DJ;SJ,CA,C6,S8"
