1571051059,0,0,2,"CK,C5,C9,C2;C4,H6,C7,CQ;C6,HA,CA,C8;HJ,H4,H8,H2;SA,S3,S10,S7;DQ,D4,D7,D6;H10,HQ,H3,H5;SJ,S9,D8,S8;S2,C3,S6,SQ;D3,DJ,D5,DA;H9,D9,CJ,D10;S5,D2,S4,H7;SK,DK,C10,HK"
1571051059,0,0,2,"C3,CQ,C6,C2;D5,D2,DK,D4;SA,S8,SJ,S7;DA,D9,D8,D7;SQ,S3,S6,S10;CJ,DJ,D10,D3;C8,C7,C9,C4;CK,S5,S2,S4;HJ,HA,H6,DQ;H9,H4,H10,HK;H7,H3,H5,HQ;CA,H8,C10,H2;C5,D6,SK,S9"
1571051059,0,2,2,"CJ,C8,CQ,C2;DJ,D6,DK,D9;C3,CA,C7,C6;S9,SK,SA,SQ;D2,D8,D10,D5;H2,S7,C9,C4;H7,H4,HJ,H3;H6,C5,HQ,HK;SJ,S4,H9,S5;D7,D3,DQ,D4;S10,S8,DA,S6;CK,H10,H8,C10;HA,S2,H5,S3"
1571051059,0,0,2,"CJ,CQ,C7,C2;DQ,DA,D9,D4;SK,SJ,S5,S6;CK,C6,C8,C3;D10,DK,D8,D2;C5,C4,H7,CA;S8,S3,S2,S4;H4,H8,H5,H6;C9,S9,S10,S7;D5,HK,HA,D6;H10,H2,H3,H9;HQ,C10,D7,D3;DJ,HJ,SQ,SA"
1571051059,0,3,2,"D7,C3,CQ,C2;D3,DQ,D4,D5;DA,DK,D8,D10;C8,C5,D9,C10;C9,CA,S5,CK;S9,SK,S8,S10;C7,C4,H10,CJ;DJ,HA,H3,C6;H5,H7,HJ,H8;S2,D2,H4,D6;H9,SJ,SQ,SA;H2,S4,S3,S7;HK,HQ,H6,S6"
1571051059,0,0,2,"C3,C5,C7,C2;D3,D5,D2,D9;CQ,CA,C10,C4;SK,S5,S6,S10;CK,C9,D10,C6;DJ,DA,D4,DQ;HJ,S3,SA,S9;DK,D8,D6,D7;CJ,S4,H5,S7;H4,HK,H8,S2;C8,H2,HA,SQ;H10,H6,H7,SJ;H3,H9,HQ,S8"
1571051059,0,14,2,"C6,C4,CQ,C2;C5,D4,C7,C3;S4,S5,S2,SA;CA,C9,S6,C8;DA,D8,D10,D7;SJ,H10,HJ,SK;H9,D2,H8,HA;H5,CK,H7,H2;HQ,HK,D3,D5;S3,SQ,D9,D6;C10,H4,S10,CJ;DQ,H3,S7,DJ;S8,S9,DK,H6"
1571051059,0,0,2,"C3,CA,C9,C2;D8,D7,D3,D5;D6,DJ,DA,D4;CQ,C5,C4,CK;D9,C10,S2,DQ;H4,C8,CJ,C7;HA,H2,H6,H7;S3,S6,SQ,SA;S5,S10,SK,SJ;H9,H3,H8,H10;HJ,H5,S8,HQ;DK,S4,S9,HK;D2,D10,S7,C6"
1571051059,0,1,2,"C10,C6,C5,C2;S4,S2,D6,S7;SQ,SJ,H10,S8;S3,C7,S6,S5;CK,S9,H2,SA;H7,H9,HK,H4;H5,HA,HQ,H8;DJ,DK,DQ,D5;C4,CJ,SK,C3;D8,CA,H3,D2;CQ,S10,D9,DA;C9,HJ,D3,D4;C8,H6,D10,D7"
1571051059,0,0,2,"C3,C4,C9,C2;D10,DQ,D8,DA;D3,DK,D6,D2;C10,C6,CA,CJ;HK,S4,DJ,D5;S2,S3,SQ,S9;CK,CQ,C7,C8;HJ,H5,H9,H2;S6,SK,SJ,SA;H7,H8,H10,H4;HA,S5,HQ,D7;H6,S10,S7,D9;C5,H3,S8,D4"
