1569977216,0,21,1,"C2,C8,C5,C4;S8,S6,S3,S4;SQ,S2,S9,S5;DA,DK,D8,D10;SA,H6,SJ,C3;D5,D4,D2,D7;H5,H4,HJ,H2;S7,C6,C7,S10;HA,HK,H8,H3;D6,DQ,D3,DJ;C10,CK,HQ,CJ;H9,H10,SK,CA;H7,D9,C9,CQ"
1569977216,0,4,1,"C2,C6,C7,C9;SQ,SJ,S5,S9;SA,S10,S7,C8;CQ,C3,DA,CJ;SK,S2,S8,H4;D5,DQ,D4,DJ;H5,H2,H10,HA;H7,D10,HJ,HK;DK,D6,HQ,D7;S3,S6,C10,S4;D9,D2,CK,H9;D3,H3,CA,H6;D8,H8,C5,C4"
1569977216,0,1,1,"C2,C5,C9,C6;S8,S4,SJ,SQ;DK,DA,D8,DJ;CJ,C10,C8,CQ;S3,SA,S7,S2;CK,H4,HA,C7;D4,D2,D6,D9;D7,D5,D10,H10;H6,H8,HK,H9;C3,HJ,S6,C4;S5,SK,S9,H7;H5,D3,H3,HQ;DQ,S10,CA,H2"
1569977216,0,8,1,"C2,C6,CK,CJ;S3,S7,SK,SQ;DQ,D9,D7,D2;S9,S5,SA,H4;H6,H9,H3,H10;C9,C4,C10,S10;HA,H5,H7,H2;S2,S6,C3,SJ;D4,DA,C7,D5;D6,CA,D8,DK;C8,H8,S4,D10;C5,HQ,D3,HJ;CQ,HK,S8,DJ"
