1569982591,0,0,1,"C8,C7,C5,C2;C10,S4,CJ,C6;D6,DQ,D8,DA;S5,S3,S10,S8;DK,D10,D2,C4;SJ,S9,S7,SK;CQ,SA,CA,D5;C9,DJ,CK,D7;C3,SQ,S2,D9;H8,H3,HQ,H4;HJ,H5,H2,D4;H7,HK,H10,D3;HA,H6,H9,S6"
1569982591,0,0,1,"C7,C4,CK,C2;D4,DK,D9,D7;S2,S3,S10,S5;DQ,D8,D3,D6;D2,DJ,D10,CQ;SA,S4,CJ,S8;S6,SK,C9,S7;SJ,C8,C3,S9;DA,CA,C5,SQ;D5,H7,H10,H8;H4,HJ,HQ,H3;C6,H9,H2,HK;C10,HA,H6,H5"
1569982591,0,0,1,"CA,C3,CQ,C2;CJ,C4,D8,C6;C8,S6,DJ,C10;DA,D10,D3,D5;D4,D9,DQ,S3;DK,SQ,D6,S10;S5,S2,S8,S7;SK,HA,CK,S4;H2,H4,H8,HK;H10,H3,H7,H6;HQ,H5,SA,C5;D2,HJ,S9,C9;D7,H9,SJ,C7"
1569982591,0,11,1,"S7,CK,CA,C2;CQ,C5,DQ,C6;S8,S10,S3,DJ;S2,S6,SA,CJ;D10,D2,D8,DA;SQ,S9,SK,DK;C4,D6,C7,C9;D7,C8,D3,D9;H2,H3,H6,HA;HK,HQ,H7,H4;SJ,S5,S4,H10;H5,C3,D5,H8;H9,C10,D4,HJ"
1569982591,0,0,1,"CQ,C7,C3,C2;C5,C10,DJ,CK;D10,D7,DQ,D4;D9,D8,DA,D3;SJ,SA,S8,S2;C9,C8,CA,S10;DK,D2,D5,S7;D6,S5,C6,S9;S6,SK,S3,S4;C4,CJ,HA,H6;H4,H9,H3,H5;H7,H8,HQ,HJ;H2,SQ,HK,H10"
1569982591,0,0,1,"CJ,C10,CA,C2;D8,DJ,D7,D3;SJ,S2,S8,S10;C9,C8,CQ,C6;S7,S9,SQ,S4;DA,D4,D6,D9;D5,DQ,DK,S5;D10,C3,S3,SA;C5,C7,C4,H2;HK,H8,HQ,H7;H4,HJ,HA,H9;S6,H6,H5,H10;SK,D2,CK,H3"
1569982591,0,4,1,"CJ,C6,CA,C2;S9,SQ,S3,S6;DQ,D3,DK,D6;CQ,C9,C10,C5;C7,C3,C8,SJ;S5,S4,D10,S2;S10,DJ,D5,SA;D9,D8,D7,D2;DA,D4,SK,CK;S8,HJ,S7,C4;H9,H10,H7,H6;H4,HQ,H8,HA;H2,HK,H5,H3"
1569982591,0,3,1,"CA,CJ,C10,C2;SK,S10,S5,S3;S8,DJ,S7,S9;D4,D2,D7,D9;DA,DQ,DK,D10;C5,C9,C3,C6;C8,C4,C7,D5;CK,CQ,S2,S4;HQ,SJ,H5,HJ;H4,D8,HA,HK;SA,SQ,H8,H10;H2,S6,H7,H3;H9,D3,D6,H6"
1569982591,0,13,1,"C5,C7,CQ,C2;SA,S7,S9,SJ;CJ,C9,CK,C3;DA,D8,D9,D7;D10,DJ,D5,D4;S8,S10,S6,SQ;D6,D3,D2,S4;DQ,DK,S2,S3;C10,S5,HJ,C8;HA,H2,HQ,H6;C4,HK,H4,SK;CA,H3,H9,H10;C6,H7,H5,H8"
1569982591,0,0,1,"CA,CQ,C3,C2;S8,S5,SJ,S3;SQ,SA,S2,S6;D8,D3,D4,DA;S4,C5,SK,S10;C6,CJ,C9,C10;DQ,D5,D2,D6;D7,D9,H7,H10;C7,H2,HK,C8;H8,H9,HJ,HQ;H6,DK,H3,H4;H5,DJ,S7,C4;HA,D10,CK,S9"
