1569982580,0,0,3,"C10,CA,C5,C2;S2,S6,S10,SJ;D2,DJ,D5,DQ;SQ,SK,S9,S8;D8,DA,D10,D6;C3,C8,CJ,S3;C7,C6,D7,S4;C4,CK,D9,D3;C9,CQ,S5,D4;SA,H8,HJ,S7;H5,H10,H9,HK;H6,H7,HA,H3;H4,H2,HQ,DK"
1569982580,0,4,3,"C10,C4,CJ,C2;C5,CK,C3,C8;DK,D2,DJ,DA;S2,S10,S9,SA;S3,S6,S5,D7;D5,SK,D8,D4;S7,SJ,C7,DQ;S8,CA,C6,C9;S4,D6,D10,CQ;SQ,H3,H8,D9;H9,HA,HQ,H6;H4,H5,H2,HJ;HK,H7,H10,D3"
1569982580,0,7,3,"C9,CQ,C5,C2;S10,SQ,S8,SJ;D8,D5,D7,DK;S9,S5,S2,S4;SA,S7,SK,S3;D4,D10,C6,D6;C10,C4,CJ,CK;DA,D2,CA,D3;DJ,C3,S6,D9;C7,H10,H7,C8;H8,H9,H5,H6;H2,H4,HK,HJ;H3,HQ,DQ,HA"
1569982580,0,13,3,"C10,C9,CJ,C2;D6,D5,D9,D3;S4,S10,S7,SA;C7,CA,C3,C5;CQ,S3,CK,C6;D7,D10,DJ,DA;SK,S5,S8,SQ;D8,DQ,DK,D2;C4,D4,S2,C8;S6,H9,S9,H10;HA,H8,H7,HJ;SJ,H5,HQ,H2;H4,HK,H6,H3"
1569982580,0,0,3,"C7,C4,CJ,C2;DK,D4,DQ,D2;S7,SQ,S8,S6;C3,CK,C5,CA;SK,S10,S3,S9;SJ,S5,S4,SA;CQ,C10,C8,D5;C6,D9,C9,S2;D10,D8,D3,HQ;HK,H3,H7,H9;H8,H10,HA,HJ;H4,D6,DJ,H2;H5,DA,D7,H6"
1569982580,0,0,3,"C8,C6,C5,C2;SK,SJ,S3,SQ;CQ,D4,CK,C7;S6,S4,S10,S9;DJ,DK,D2,DA;S2,S5,D6,S7;D5,D10,D3,D8;C9,C4,D9,S8;CA,C10,DQ,SA;HQ,H5,H3,H10;HA,HK,H2,H7;H9,CJ,H4,HJ;D7,H6,C3,H8"
1569982580,0,4,3,"C5,C3,C6,C2;S8,S4,SJ,SA;D6,D2,DQ,DA;S7,S2,S5,C7;SQ,S10,S9,DJ;C9,C8,C10,CA;D9,D5,D3,CK;CQ,CJ,D8,C4;D4,D10,D7,SK;DK,HK,S6,H5;H8,HA,H3,H4;S3,HJ,H10,H9;H7,H6,H2,HQ"
1569982580,0,0,3,"CK,C7,C9,C2;D4,DA,D6,D7;S8,S5,S9,S3;C6,CQ,CA,CJ;D5,D2,SQ,D3;DK,C3,S7,SJ;D9,C8,S6,SA;C5,C10,S2,C4;S10,HK,HJ,S4;H8,D8,H3,H10;HQ,DJ,H6,H7;HA,DQ,H4,H5;H9,D10,H2,SK"
1569982580,0,4,3,"CJ,C10,C3,C2;D7,D3,D2,DA;CA,C8,C6,CK;C5,C7,CQ,SJ;D9,D10,D5,DQ;C4,SQ,D4,C9;D6,S3,D8,DJ;SA,S7,S6,S2;DK,S10,SK,S5;HK,H2,H6,H8;H5,HA,H10,H7;S9,HQ,S8,HJ;S4,H3,H9,H4"
