1571050933,0,26,0,"C5,C4,C9,C2;C6,C10,CA,C3;SK,S3,S6,S4;CK,CQ,C8,C7;SJ,S5,S7,S9;D2,D10,DK,D9;S8,S10,SQ,SA;D8,D3,H6,DJ;DA,DQ,CJ,D5;H2,H4,H5,H3;D4,H7,H9,D6;HK,HJ,H10,HA;D7,H8,S2,HQ"
1571050933,0,13,0,"CA,C4,C10,C2;S4,S10,SA,S6;S5,SQ,S7,S9;DA,D9,D2,DQ;D8,C9,C6,C3;H8,C7,D3,C5;DJ,CK,DK,CJ;D6,D7,HK,D4;H9,H2,H4,H10;H7,H3,D10,H5;HQ,SK,CQ,H6;S2,D5,S8,SJ;S3,C8,HJ,HA"
1571050933,0,12,0,"C7,C10,CK,C2;D10,D9,D5,D8;C5,C8,CA,C3;D3,D7,DJ,D2;DK,H3,S10,D6;S3,SJ,S8,SQ;H7,HK,H2,H4;D4,DA,C9,C6;S9,SK,S4,S7;HJ,S5,SA,S2;H5,H10,C4,CJ;DQ,H8,CQ,S6;H9,HQ,H6,HA"
1571050933,0,21,0,"C10,CJ,C7,C2;DA,D6,D8,D10;S10,S6,S8,S5;C5,CA,CK,C3;D5,HA,D2,D4;C9,C6,DQ,CQ;S2,SJ,SK,S7;HQ,H6,H3,H2;C8,HK,DK,D3;D9,C4,H10,D7;H7,H4,HJ,H9;SQ,H5,S9,S3;H8,S4,SA,DJ"
1571050933,0,7,0,"C3,C9,C5,C2;SJ,S4,S9,S5;D4,D5,DK,D8;SQ,SA,S8,S10;C8,C7,C6,CK;CQ,CA,C4,C10;D10,HJ,DQ,D9;H5,D2,H10,D3;H2,H4,H3,H7;S6,DJ,H8,D6;HQ,S7,S3,DA;H6,SK,HK,H9;D7,CJ,S2,HA"
1571050933,0,5,0,"C5,C3,C8,C2;S6,SQ,SA,S5;HQ,C4,C7,CA;HJ,H4,H9,H2;SK,S4,S3,S8;D9,DA,D10,D2;S7,C10,CQ,CK;H8,DK,H5,H10;HK,C9,CJ,C6;D4,D6,DJ,DQ;H3,S10,D7,H6;HA,S2,D3,D8;H7,SJ,S9,D5"
1571050933,0,0,0,"C9,CQ,CK,C2;D7,D6,DK,D2;S3,SJ,S4,S6;DA,D3,D8,D9;S7,CA,HK,S10;S9,C5,C6,C7;S2,DQ,D5,DJ;H7,HQ,H6,HJ;S8,C10,C3,SQ;SA,H9,C4,CJ;H4,H3,D10,SK;H8,D4,C8,S5;H10,H5,H2,HA"
1571050933,0,4,0,"DA,CQ,C10,C2;C3,C9,D2,CJ;H8,CA,DJ,C4;HK,C5,D8,C6;H2,C8,S9,CK;S8,SQ,SA,S5;S3,SJ,S6,S7;H6,H4,HA,H9;H3,H10,H5,H7;D5,DQ,D6,D7;D4,S4,S10,S2;C7,D9,D3,SK;HQ,D10,DK,HJ"
1571050933,0,17,0,"CJ,CQ,CA,C2;DJ,D3,D2,D8;S7,S2,S3,S4;C4,C8,C7,C6;C10,C9,SK,CK;D7,D10,S5,D4;HQ,D5,DK,DA;H7,D6,DQ,D9;HA,SQ,C5,C3;H8,H6,S10,H10;H5,H3,S8,H2;H9,SJ,H4,HJ;S9,SA,HK,S6"
