1569980767,0,2,1,"C9,C10,C4,C2;D10,D2,DJ,D5;DK,D3,D9,D7;C3,CK,CQ,S3;S10,S9,S7,SK;S8,S2,CA,S4;SA,S5,DQ,S6;D6,SQ,D4,D8;C7,SJ,CJ,HA;H6,H2,H3,H5;HJ,H4,C8,HQ;HK,H10,H8,C6;H7,C5,H9,DA"
1569980767,0,4,1,"C5,C10,C8,C2;S10,S8,S9,SJ;D4,DA,DJ,D6;D9,D8,DK,D2;S6,S3,SQ,SA;CA,C4,CJ,CQ;DQ,SK,S7,D10;D5,C6,HJ,D3;H8,H3,H7,H5;D7,C7,H2,S2;H4,CK,H9,HA;S5,S4,HK,C9;H6,C3,HQ,H10"
1569980767,0,0,1,"C7,CK,C10,C2;SJ,SA,S3,S2;CJ,C9,C4,CA;D3,D10,D6,D2;S7,S9,S8,SK;D7,D9,DK,DA;C5,C6,CQ,C8;D4,S4,D8,DJ;SQ,C3,S10,S6;H6,HA,H5,H9;HK,H4,H10,H3;H7,HJ,HQ,DQ;H2,D5,H8,S5"
