1570124967,0,17,0,"C3,C4,CQ,C2;SQ,SJ,S6,S8;CK,C7,CA,CJ;S7,S2,S5,S10;D5,D10,D8,D4;S4,SA,S9,DJ;D7,DA,H4,DQ;H6,HQ,HK,H7;H5,HA,H8,H2;C5,C8,C6,D9;S3,SK,H3,D2;C9,H9,C10,D3;D6,HJ,H10,DK"
1570124967,0,19,0,"CK,C3,CA,C2;DJ,DK,D10,DA;S4,S5,SA,S10;D2,D5,D3,D4;C5,C8,DQ,C7;C4,C6,H3,CQ;S6,S8,SQ,D6;HQ,H10,H5,H9;SK,S7,S3,D8;SJ,S9,H6,H2;H7,HJ,H8,HK;D9,HA,S2,C10;D7,H4,CJ,C9"
1570124967,0,17,0,"C5,C9,C8,C2;SK,SA,S7,S2;C6,C10,CA,CJ;CK,CQ,H4,C7;DK,D9,D8,DQ;SJ,S8,SQ,HA;S3,C3,S4,H3;H10,H2,H9,HQ;HJ,H5,H6,D4;D6,D10,DJ,D7;S10,D3,S9,D2;S6,H7,H8,C4;S5,D5,HK,DA"
1570124967,0,16,0,"CQ,C8,C6,C2;CA,C3,C5,CJ;DJ,D7,D2,D4;S7,S9,SA,SQ;S8,S6,S2,S10;D10,C9,D9,D8;D3,HK,D6,DK;HA,H10,HJ,HQ;SK,H4,S4,C7;SJ,H8,S3,H3;S5,H9,CK,D5;C10,H2,C4,DQ;H6,DA,H7,H5"
