1569979576,0,3,3,"CA,C4,C8,C2;D4,D9,D5,D2;D3,D7,D10,D8;S10,S2,SQ,SK;CJ,C5,C6,C9;S9,S8,S3,S6;CQ,S4,C3,C7;DQ,DK,DJ,DA;SA,S5,S7,SJ;H5,HK,H3,H10;H9,H8,H6,H2;H4,HJ,D6,HA;H7,CK,C10,HQ"
1569979576,0,13,3,"CA,C6,C5,C2;SA,SJ,S2,S6;DA,D10,D2,D9;S8,S10,S7,SQ;DJ,D3,DK,D4;CK,CJ,CQ,C3;D7,D6,C9,DQ;SK,S9,S5,C4;D5,C10,S4,C8;S3,HJ,H5,HQ;H2,H10,H6,H9;H7,HA,H8,D8;HK,H4,C7,H3"
1569979576,0,6,3,"CJ,C5,CK,C2;S7,SQ,SA,S9;S8,S3,S4,C7;D7,DQ,DA,D3;C9,SK,CA,C6;D4,D9,D8,D6;CQ,S6,S5,C10;D5,SJ,D10,D2;DJ,S2,DK,C8;C3,H10,HA,C4;HJ,H7,HQ,H5;S10,H4,H9,H8;H3,H6,HK,H2"
1569979576,0,0,3,"C8,C7,S8,C2;SA,S5,S7,S6;CQ,CA,D10,CK;S2,S3,S9,DQ;DJ,D2,D9,D3;D7,D5,DK,C9;C6,D4,C10,C5;D6,H7,D8,HA;HJ,H8,C4,H9;SQ,H4,SJ,H10;H2,HK,CJ,H3;H6,S10,SK,HQ;H5,S4,DA,C3"
1569979576,0,14,3,"C7,C10,C8,C2;S10,S3,S7,S8;S4,S2,D8,SQ;D5,D3,DQ,D9;CQ,C4,C9,C5;C3,CK,C6,SA;CJ,CA,D6,SK;H8,H4,H6,H9;D7,D4,D10,HQ;S6,H7,SJ,H2;HK,H10,HA,S5;H5,DA,H3,D2;HJ,DJ,S9,DK"
1569979576,0,0,3,"C6,CA,C8,C2;DQ,D6,D3,D4;D5,D9,S9,SK;S4,SJ,S8,SA;SQ,CJ,S2,S3;DJ,C3,S6,D8;D10,CQ,S10,D7;DK,CK,S7,C5;C10,H2,C4,C7;H9,H10,H7,H6;HJ,H3,S5,HA;H4,H8,HQ,D2;HK,C9,DA,H5"
