1569978293,0,16,0,"C2,C4,C5,C7;SA,S7,S2,SQ;D3,DA,DJ,D6;DQ,D9,D4,D5;CQ,CA,C6,CK;D2,C8,S3,DK;SJ,S10,S8,C9;S6,S4,S5,H3;S9,SK,H5,H6;HK,HA,H4,D7;H10,H7,HQ,C10;D10,C3,H8,D8;HJ,H2,H9,CJ"
1569978293,0,2,0,"C2,C6,CK,C3;S3,S10,S8,D3;D2,D7,D8,DQ;CJ,CQ,C10,C7;D6,DK,D9,D5;S2,S9,SQ,CA;SJ,S5,C4,S4;S7,S6,C8,SK;C9,D10,SA,C5;HK,H6,H9,H4;H5,HJ,H7,H8;DJ,H10,DA,H2;HQ,H3,HA,D4"
1569978293,0,17,0,"C2,CQ,C10,S2;CA,C8,DJ,C3;DK,D8,DQ,D3;SQ,S4,SK,SA;DA,D9,D2,D10;C9,C5,S9,CK;S5,S8,S10,S3;SJ,S6,C4,S7;D7,D4,D5,D6;H8,HA,HK,H3;H10,H7,HJ,H2;H6,H4,H9,C6;C7,H5,HQ,CJ"
1569978293,0,7,0,"C2,C8,CQ,D9;S3,S7,S10,S9;D8,D7,D2,D4;DQ,C10,D5,DK;C6,C4,S4,CJ;S8,SA,SQ,SJ;S5,S2,S6,C5;D6,SK,C7,D3;DA,HQ,HA,CA;DJ,H5,H6,CK;D10,H10,H3,HK;H7,H4,H8,H9;C9,HJ,H2,C3"
