1571051167,0,0,3,"C8,D2,CA,C2;D8,DQ,D5,DJ;D7,DA,D10,D6;C3,CQ,D9,C10;HA,C9,C6,CJ;HK,H9,H10,H4;C5,DK,D3,D4;S2,S5,SA,S6;H3,H2,H8,H6;S8,SK,S10,S7;CK,SJ,H7,S3;HQ,SQ,C7,S9;H5,S4,C4,HJ"
1571051167,0,1,3,"CQ,C4,CA,C2;D4,D8,DA,D10;C8,C3,CJ,C5;SQ,S9,S7,S3;D6,D7,D5,D9;DJ,S4,D3,D2;S10,S8,C6,S2;H9,C7,SJ,C9;H5,HQ,H7,HJ;H10,H4,H2,H8;HK,S5,CK,SK;HA,S6,H3,SA;C10,DK,H6,DQ"
1571051167,0,13,3,"C3,CQ,C10,C2;S8,S4,S7,S5;SK,S6,S2,S9;D3,D7,DA,D2;SQ,CA,SA,SJ;D8,DK,D5,DJ;D9,D10,C7,DQ;CK,HK,C9,C4;H4,HQ,HA,H8;C8,S3,CJ,C6;D6,H9,H6,H7;H2,H3,C5,H5;S10,HJ,D4,H10"
1571051167,0,0,3,"C10,C3,CA,C2;S7,SA,S6,SQ;SK,S8,SJ,S5;CJ,C7,C8,C5;D9,D10,D2,D6;D8,D5,DK,D4;C6,CK,HQ,CQ;H5,H10,HK,H7;H2,H8,H3,H9;S9,D3,C4,DQ;H6,H4,S2,D7;S10,HA,C9,DA;S3,HJ,S4,DJ"
1571051167,0,6,3,"C7,C10,C9,C2;D9,D3,D2,D4;S5,S3,S10,SQ;S2,S7,H6,SK;H5,H9,HA,H7;SA,D8,DK,D10;HQ,C5,C6,CJ;DQ,SJ,H10,S6;C8,CK,DJ,CQ;H2,H3,H4,H8;D6,C3,C4,D5;S4,CA,S8,DA;HK,HJ,S9,D7"
1571051167,0,7,3,"C3,CA,CQ,C2;SK,SQ,S9,SJ;S7,S6,S4,S8;S2,S10,S3,S5;CJ,C10,C9,C8;D3,D7,D4,D6;C7,C5,D8,C4;D5,DA,D2,D9;H6,H4,DJ,SA;HQ,H3,H2,HA;HK,H8,H5,HJ;D10,H9,DQ,DK;C6,H7,H10,CK"
1571051167,0,3,3,"C9,C5,CK,C2;SK,S6,S4,S5;C6,C4,CA,CQ;SJ,S2,S9,S10;C3,HJ,C7,C8;C10,H5,HQ,CJ;D7,D2,D9,D4;H2,H6,H7,H4;DA,H3,H9,H8;SQ,DJ,D10,D8;HA,S7,S3,SA;D6,DQ,H10,S8;D5,DK,HK,D3"
1571051167,0,3,3,"C8,CJ,C5,C2;SA,S4,S7,S3;DJ,D6,D10,DK;C6,C9,D5,C4;S6,S8,S5,SQ;HA,C10,C7,CK;SJ,H6,SK,S2;HK,D4,C3,CQ;H2,H5,H7,H10;D8,H3,HJ,H4;CA,DA,D3,D7;DQ,D9,H8,D2;H9,S10,S9,HQ"
1571051167,0,0,3,"CK,C10,C5,C2;S5,S8,S4,S7;C9,C7,H9,C8;D10,D3,D5,D9;DK,D7,DJ,D8;HJ,HA,H2,HK;SK,S2,S6,S3;D2,C4,H3,CQ;HQ,S10,S9,SJ;DQ,SQ,D6,CA;H10,DA,SA,C3;H7,H5,H4,CJ;H6,H8,D4,C6"
