1569979582,0,1,0,"CA,CK,C3,C2;D7,D2,D5,D10;C9,S4,C4,C7;SA,S6,S7,S2;C10,D8,C6,D4;SK,S8,SQ,S10;S5,DJ,S3,DQ;D6,DK,SJ,DA;D9,H3,C8,D3;H10,H9,H7,HA;CJ,HQ,C5,H8;CQ,HK,H6,HJ;S9,H5,H4,H2"
1569979582,0,9,0,"CA,C5,CJ,C2;S6,SJ,S4,S7;DK,D6,D4,DA;C8,C10,C6,C7;S8,S5,S2,SA;D3,DJ,D9,D5;CQ,CK,C9,C3;D8,S10,DQ,D7;SK,H3,H5,SQ;H7,H9,H6,HA;HJ,H10,S9,H4;H8,HQ,S3,D10;H2,HK,C4,D2"
1569979582,0,3,0,"C4,C9,C6,C2;D4,S9,DJ,D5;DK,DA,S10,D6;S7,S4,S3,C5;SA,CJ,S6,D2;DQ,C3,D3,D7;S8,C7,SJ,CK;CA,C10,S5,C8;CQ,H3,H9,H4;HJ,H6,H8,H7;H2,H10,SK,HK;H5,HQ,D10,S2;HA,D8,D9,SQ"
1569979582,0,9,0,"C4,C3,CK,C2;S2,SK,S5,S10;D5,DQ,D8,D3;D4,D2,DJ,C10;CA,C9,C6,C7;CQ,S6,C8,S4;CJ,S7,DK,S8;SJ,S9,D9,SQ;H4,HA,H9,HQ;HK,H5,HJ,H7;DA,D6,SA,H8;H3,H2,C5,H10;H6,D7,S3,D10"
1569979582,0,18,0,"C4,C7,C6,C2;SJ,S10,SA,S2;C8,C3,C10,D4;D9,D10,D2,D5;CA,D3,C5,DQ;C9,D7,CK,S6;DK,D8,CJ,D6;S8,S3,S7,S5;S9,SQ,S4,H4;HQ,H3,H7,H2;H8,HA,HK,H9;CQ,H10,H5,SK;H6,DJ,HJ,DA"
