1569982532,0,26,1,"C6,C10,CA,C2;DJ,DK,D6,D7;C5,C7,CJ,S6;D2,DQ,DA,SK;S10,S8,SA,S5;S7,SJ,SQ,S9;C3,CK,C4,S3;D5,D9,D3,S2;D8,H7,CQ,S4;C8,H4,H6,H8;C9,HQ,HJ,HK;D4,H9,H2,HA;D10,H3,H5,H10"
1569982532,0,0,1,"C9,CA,C3,C2;SJ,SK,S4,SA;D7,D5,D6,D3;S5,S8,S9,S7;D9,DJ,C6,DA;S3,D8,S6,SQ;C4,CQ,C10,CJ;D2,D10,C5,S2;S10,HA,H9,C8;H8,DQ,H6,HJ;H5,D4,H4,H7;HK,DK,H10,H3;H2,CK,HQ,C7"
1569982532,0,0,1,"C4,C10,C8,C2;C3,C6,CJ,CK;SJ,S8,SA,S5;D5,D7,D4,D9;SQ,S4,S9,S7;C7,CA,S6,DA;D3,D6,DQ,S3;DJ,H9,D10,H6;HK,HA,H3,H2;HJ,H4,H10,C5;H7,DK,H5,S10;HQ,D8,S2,SK;H8,C9,D2,CQ"
1569982532,0,4,1,"C8,C7,C5,C2;DA,D4,D3,DK;D5,DJ,D10,D9;S9,SJ,SQ,S2;S3,S5,CJ,S4;S7,S6,CQ,S10;D2,D7,D6,DQ;S8,D8,C10,SK;H7,H5,H2,H10;C3,C4,HK,HJ;CA,HQ,H3,CK;H6,H8,H9,H4;HA,SA,C9,C6"
1569982532,0,14,1,"C7,C3,CK,C2;DK,DA,D2,D9;C8,CJ,S9,C6;S3,S5,S6,SJ;D5,DJ,D3,C5;D4,DQ,D6,S10;CQ,SA,D10,C9;C10,S4,D7,CA;SQ,S7,S8,HA;H8,H3,HJ,HK;H7,H9,HQ,H6;S2,C4,H10,H4;SK,D8,H5,H2"
1569982532,0,3,1,"CQ,C7,C3,C2;C5,S9,CA,C6;DQ,D10,D7,D8;DK,D4,D6,D3;S8,SK,SQ,S6;C9,S4,CJ,C4;C10,CK,SA,S3;S7,S5,DA,DJ;S2,SJ,D5,D9;D2,H7,H3,HA;H9,HK,H2,HJ;H8,H4,H6,H10;H5,C8,S10,HQ"
1569982532,0,0,1,"C9,C3,C7,C2;SQ,SA,S4,S9;DK,D3,DA,DJ;D7,D6,D8,S10;D10,D4,D2,S5;CQ,CJ,C5,C6;C8,CK,CA,C4;S8,SJ,S7,S2;D9,D5,DQ,SK;S3,H7,S6,H4;HJ,HA,H9,H2;HK,H5,H10,H3;HQ,H6,C10,H8"
1569982532,0,2,1,"C3,C9,CK,C2;DJ,D5,D4,DQ;S4,S3,S8,SJ;D3,D8,DK,D9;CQ,C4,CA,C6;D10,D6,CJ,S5;D2,D7,SQ,S9;C8,C10,C7,C5;S7,S10,S6,SK;HJ,H9,H8,H7;H3,H6,H2,HQ;H10,DA,HK,HA;H4,S2,H5,SA"
1569982532,0,24,1,"C7,C4,C6,C2;CA,C10,C5,C3;S7,SJ,S5,S10;D2,D5,DQ,DK;D3,D10,SA,D4;D7,SK,C8,D6;S3,S9,C9,S2;S6,CQ,S4,S8;D9,HK,H10,DA;H6,H2,H7,HA;D8,CJ,H8,CK;HQ,H9,H3,H4;DJ,SQ,H5,HJ"
1569982532,0,0,1,"CK,C7,C5,C2;SJ,S7,SK,S9;D8,D10,DJ,DA;CQ,S2,CJ,C8;D9,D7,DQ,D3;C6,SQ,C10,CA;S3,SA,S5,C3;C4,D6,C9,S6;D2,S4,S8,D5;DK,H6,HQ,H9;HJ,H5,H7,H2;D4,H4,HK,H8;S10,HA,H10,H3"
