1569978275,0,4,2,"C2,CA,C9,C3;S9,S7,SK,S4;D4,DA,DK,D10;SA,S2,S10,S3;C5,CK,C6,C4;D7,DQ,D2,DJ;C10,SJ,D9,CJ;S6,S8,S5,D3;D6,D8,CQ,D5;C8,SQ,H10,H8;C7,H5,H2,HQ;H6,H7,H9,H4;HK,H3,HA,HJ"
1569978275,0,8,2,"C2,C6,CA,C10;D4,D6,D3,D2;CQ,CK,CJ,C3;S5,SA,S3,S8;S6,SK,S4,SJ;S9,SQ,C7,S7;D9,D7,D5,DQ;S10,S2,D8,C5;D10,DK,DJ,C9;C4,DA,C8,H9;H10,H6,HQ,HA;H7,H3,H2,HK;HJ,H5,H4,H8"
1569978275,0,13,2,"C2,CA,C10,C7;S7,S3,SA,S8;DJ,D3,DK,D10;SQ,S5,S10,S4;CJ,C6,DQ,C8;CK,C4,DA,C5;C3,D7,D9,CQ;D4,D8,D6,D2;SK,SJ,S9,S6;H10,H6,H2,H9;HK,H8,HQ,H5;HA,S2,H7,H4;HJ,C9,H3,D5"
1569978275,0,2,2,"C2,C9,CA,C7;CJ,C5,C3,C10;S2,SQ,S6,S10;DJ,D2,DK,D5;C4,CK,C6,C8;S4,SJ,D6,S5;SA,D9,S3,S8;DA,D10,D4,D7;S9,DQ,S7,SK;D3,D8,H5,H8;H3,H10,HQ,H9;CQ,HK,H2,H6;HJ,H7,H4,HA"
