1569982481,0,0,2,"CJ,C7,CA,C2;D2,D3,D7,DQ;C5,C8,C6,S4;S8,S2,S7,S9;C4,CQ,D9,C10;D10,D6,DJ,DK;D8,SQ,DA,C3;S3,SJ,S6,C9;SK,S5,HQ,S10;HA,HJ,H6,H10;D5,H7,H8,H2;HK,H4,H9,H5;D4,SA,H3,CK"
1569982481,0,0,2,"CK,CJ,C6,C2;DK,D4,D7,D9;CQ,C8,C10,C9;CA,C7,C3,C5;D2,D3,D5,D8;S3,S6,S4,S2;SJ,SA,S5,S10;DQ,DJ,SQ,D6;DA,C4,S7,S8;SK,H3,H5,S9;H10,H6,H7,H8;D10,HA,H2,H9;HJ,HQ,HK,H4"
1569982481,0,8,2,"C7,C4,CA,C2;S6,S7,SJ,D9;D8,DA,CQ,D3;C10,C8,DQ,CJ;D7,S10,D6,D2;C3,C6,CK,SQ;DJ,D5,S8,D4;D10,C9,SA,DK;S3,S4,S5,H10;H9,HA,H3,H2;HJ,H6,H7,HQ;C5,H8,HK,H4;S9,H5,SK,S2"
