1570124996,0,5,1,"CK,C5,C6,C2;D2,DA,D4,D8;C8,C3,C9,D9;DQ,D5,D10,D6;C4,C10,CJ,S10;DJ,DK,S8,H2;SQ,S5,SK,S2;H10,H4,HK,H3;D3,S7,S3,S9;D7,HQ,CA,S6;H7,HJ,SJ,H9;HA,H5,S4,H8;H6,C7,CQ,SA"
1570124996,0,4,1,"C7,C8,CA,C2;DK,DA,DJ,DQ;S7,S9,SA,S5;S8,H3,S6,SK;D10,D5,D2,D8;C4,C6,C10,C5;H5,H6,H7,H2;H8,H9,HK,HJ;C3,S10,CK,C9;D4,SQ,D3,CQ;D7,CJ,S3,S2;D6,H10,HQ,SJ;D9,H4,HA,S4"
1570124996,0,3,1,"CA,CK,C4,C2;S10,S8,S4,S2;S9,D3,S3,H3;C9,C5,C6,C8;DA,D9,SQ,DQ;DK,D2,H8,H4;CQ,DJ,C10,C3;S6,D4,S7,HQ;SA,SJ,H5,H10;S5,SK,C7,D7;HJ,HK,D10,HA;CJ,D5,H2,D8;H9,H6,H7,D6"
1570124996,0,14,1,"C7,C3,CA,C2;D8,D5,D2,DQ;DK,DA,D3,D6;SQ,S10,S8,SA;S3,SK,S2,S9;D9,S6,D7,H7;D10,H2,DJ,H6;H5,H8,HQ,HA;SJ,S5,H3,C10;HK,H10,D4,H4;S4,HJ,CK,C5;C9,C8,C6,CQ;H9,S7,CJ,C4"
1570124996,0,20,1,"C4,CK,C9,C2;D6,D4,D10,D3;C10,CQ,S3,C8;D2,DA,D7,S7;SA,S5,S2,S10;CA,C7,HK,C3;C6,DQ,S9,HA;SK,S8,S6,SQ;CJ,HQ,H5,DJ;H9,H8,H4,SJ;H7,HJ,H3,S4;D8,C5,D9,H2;D5,DK,H10,H6"
1570124996,0,14,1,"CK,C10,CQ,C2;DQ,D9,DJ,D3;C7,C8,C9,C4;D10,D8,D7,D6;S4,SA,S2,S6;C5,CA,C3,S10;S7,H10,S3,SQ;H2,HK,H8,H4;SJ,S9,HJ,S5;DK,D5,D2,HA;HQ,H7,H6,H9;S8,C6,CJ,SK;H5,H3,DA,D4"
