1571051389,0,22,1,"CA,C6,C7,C2;D7,D6,D9,D4;C9,C5,CK,CJ;SJ,S10,S5,S3;D8,D10,DQ,D5;D2,H10,DJ,DA;S8,S6,S7,SA;H7,H8,H5,H2;H6,HA,H4,HQ;S9,S4,HJ,SQ;HK,CQ,C8,DK;S2,H9,C10,SK;C3,H3,C4,D3"
1571051389,0,14,1,"CA,C3,C4,C2;CK,C8,CQ,C10;DQ,D2,D5,D6;S9,S2,S7,S10;D7,D8,D3,DJ;SQ,S4,SK,SA;S8,D4,DK,DA;CJ,C6,H10,C5;H8,S6,SJ,S5;HK,H7,H9,HQ;H2,H4,H3,H6;C7,HA,C9,H5;D10,HJ,D9,S3"
1571051389,0,0,1,"C3,C4,CJ,C2;C8,C10,C7,CQ;D10,D6,D2,DQ;SJ,SA,S2,S7;DA,D5,D3,DJ;CA,C6,H9,C5;S5,S4,S9,S6;H7,HQ,H3,HK;D4,D9,H5,DK;D8,S8,HA,H2;H10,SQ,S3,HJ;H4,S10,D7,H6;CK,SK,C9,H8"
1571051389,0,0,1,"C4,C5,CK,C2;S5,S3,SK,S7;D2,D4,DK,D8;S10,S6,S9,S8;S2,SQ,C6,SJ;CQ,D7,CA,C10;C9,D3,DA,D9;DJ,CJ,D5,D10;H6,DQ,HA,D6;H8,HQ,H4,H3;H7,C3,H2,H9;HJ,C7,SA,H10;C8,S4,H5,HK"
1571051389,0,2,1,"C9,C5,C3,C2;S10,S8,SQ,S3;C4,C7,CJ,CK;D8,D2,DJ,DA;S7,D5,D3,D9;H6,HQ,DQ,D7;HJ,H8,H2,H9;CA,C10,C8,C6;S6,SA,S5,S4;D4,H7,HK,H10;SJ,DK,S2,SK;H3,D6,H4,HA;H5,D10,CQ,S9"
1571051389,0,0,1,"C10,C8,CK,C2;HK,D7,D9,DK;H9,H2,H3,HJ;C4,H10,HA,H8;S9,SA,S4,SJ;S6,S10,S3,S5;C7,C9,CQ,CJ;H6,H4,C6,H5;D2,SK,D4,D5;D3,S8,D10,DJ;D8,CA,D6,DA;S7,SQ,C3,S2;DQ,HQ,H7,C5"
1571051389,0,0,1,"CQ,C4,C10,C2;DK,D3,D8,D9;S2,SK,SQ,S7;D2,DJ,D7,D10;S6,SA,S3,S4;C5,D6,C9,CA;H8,DA,C3,CK;HK,H9,H10,H2;H4,H6,HA,HJ;S8,SJ,C6,C7;H7,S10,H5,H3;D4,D5,CJ,HQ;S5,DQ,C8,S9"
