1569980824,0,7,1,"CJ,CQ,C10,C2;CA,C4,C9,C3;D2,D7,D4,D8;SA,S5,S2,S7;C8,C5,S6,C6;DK,DJ,DA,D10;S8,SJ,S10,SK;DQ,D9,D5,S9;C7,D3,CK,SQ;H8,HJ,H9,HK;H5,H4,H7,H10;H6,D6,H3,HA;S3,S4,H2,HQ"
1569980824,0,4,1,"C5,CJ,C3,C2;D10,D8,D7,DJ;C4,S4,C6,C7;SK,S9,S8,S3;SA,S6,S2,S5;CA,D5,D3,CQ;C10,DK,SJ,C8;CK,H2,HA,D2;H5,H3,H9,H6;H8,HQ,D6,H10;DA,DQ,H4,D4;S10,SQ,HK,C9;D9,H7,HJ,S7"
1569980824,0,3,1,"C10,CJ,C4,C2;S3,SQ,SK,SJ;C5,C7,C8,CK;D3,D9,D4,D10;C3,C6,C9,S2;SA,S7,S5,S8;S9,S6,D6,S4;S10,D5,CA,DA;CQ,H2,DK,DJ;H8,H4,H9,H5;D2,H3,D8,H10;HA,HK,D7,H6;HJ,HQ,DQ,H7"
1569980824,0,19,1,"C5,CK,CJ,C2;S10,SA,S4,S8;DQ,D3,D9,DA;S6,SQ,SK,S5;C6,CQ,C8,C7;CA,C3,C10,S2;D10,D7,DJ,D4;S7,D8,S9,S3;D6,DK,D5,SJ;C9,H3,HJ,C4;HA,H9,H8,HK;H4,H10,H6,HQ;H5,H7,H2,D2"
1569980824,0,5,1,"C7,C8,C3,C2;SJ,S6,S9,S2;D10,DQ,D2,D6;CK,CA,C10,DK;S5,S3,SK,S8;C4,S4,D9,CQ;DJ,D8,S10,D7;SQ,DA,C9,SA;D3,H8,H7,D5;H2,H6,HJ,H4;CJ,HK,C6,HQ;C5,H10,S7,HA;H5,H3,H9,D4"
1569980824,0,8,1,"C7,CJ,C9,C2;D7,D10,D3,D8;S5,S9,S7,S8;CQ,CK,CA,C4;DA,SA,D2,D5;S10,S6,S4,SJ;D6,S2,DJ,D9;C6,SQ,DQ,C8;S3,SK,H5,C5;H4,H7,H6,H2;HK,H3,HQ,H10;H9,DK,HA,C10;HJ,H8,C3,D4"
1569980824,0,0,1,"C4,C9,C10,C2;DJ,D9,DA,D7;C6,CJ,C3,CA;SJ,S10,S9,S7;D4,D6,CK,D2;SA,S6,S4,SK;D10,C5,DK,D3;C8,SQ,S2,CQ;S8,S5,S3,C7;DQ,H3,D5,D8;H6,H5,H2,HA;HK,H10,H8,HJ;H9,H7,H4,HQ"
1569980824,0,9,1,"CQ,CK,C4,C2;S6,S3,S5,S4;DJ,D4,D5,D8;DQ,D9,SQ,D2;C8,C3,C5,C10;S9,CA,SJ,S10;C9,C7,C6,SA;CJ,DA,S2,S7;SK,DK,S8,HJ;HK,H4,H9,HQ;H10,H3,H6,H8;D7,D10,D3,H2;H7,HA,H5,D6"
1569980824,0,7,1,"C7,CK,CQ,C2;D9,D6,DJ,D7;S7,S9,SJ,SA;SQ,SK,CJ,S10;DK,D3,D5,D2;C5,CA,C3,C6;C4,DA,D4,C9;S6,DQ,C10,S4;S8,D10,C8,S2;S3,H4,H8,H3;HJ,H5,H7,H2;HK,HQ,H10,HA;D8,H9,H6,S5"
1569980824,0,0,1,"CK,C9,CJ,C2;D4,D7,D8,DJ;S8,S6,SJ,S10;CA,C7,CQ,C8;DA,DK,D5,D9;C6,C5,C10,C4;SK,D6,S5,SQ;SA,D3,S9,S2;S3,HA,S7,S4;H8,HJ,H9,H6;H2,H10,C3,H7;DQ,HQ,D2,H3;HK,H4,D10,H5"
