1569982576,0,0,1,"CK,CA,C5,C2;DQ,D9,D7,D6;DK,D8,DJ,D5;SK,S2,SJ,S3;D4,D2,D3,SQ;S4,C7,S7,S9;C8,S8,C9,C10;C6,S10,D10,C4;S6,SA,H7,H4;HJ,HA,HK,HQ;H8,H2,H3,CQ;H6,H9,S5,CJ;H5,H10,DA,C3"
1569982576,0,5,1,"CQ,C8,C5,C2;C4,CJ,CK,C10;S6,S9,SA,SQ;D3,D2,D9,DJ;SK,SJ,S3,C3;S8,CA,S2,D10;DK,C6,DQ,D8;S5,HQ,D5,H10;S7,H7,H3,H4;H8,HA,HK,H2;H9,H5,C7,DA;HJ,D4,C9,S4;H6,D6,D7,S10"
1569982576,0,9,1,"C9,C6,C8,C2;D4,D10,DJ,D5;S9,SK,S6,SQ;D7,DA,D8,D2;CJ,C5,CQ,CA;S3,S10,S7,SJ;S8,D9,SA,C10;D6,CK,D3,C4;DQ,H6,S5,H5;H4,HQ,H10,HJ;HA,C7,H8,HK;H3,DK,S4,H2;H7,S2,C3,H9"
1569982576,0,2,1,"C4,C5,CQ,C2;S7,S10,S2,SK;CK,C6,C9,CJ;C8,C10,D6,DK;D2,DJ,D10,D4;S9,S3,CA,S5;S4,SQ,C7,S6;D5,H7,D7,D8;H8,H4,H10,D9;DQ,H3,DA,D3;HQ,H6,HK,SJ;HA,H2,SA,HJ;H9,H5,C3,S8"
1569982576,0,16,1,"CJ,C8,CK,C2;SK,S3,SQ,S9;S2,S7,DQ,S10;D5,DA,D10,D4;C9,C6,C7,SJ;D6,DJ,D8,DK;S5,C5,SA,S8;D2,D7,D9,S4;C4,CA,C3,H5;H4,H7,HQ,H10;H9,C10,H6,HJ;H2,CQ,HA,HK;D3,S6,H3,H8"
1569982576,0,9,1,"C4,C6,CA,C2;D3,DJ,D10,DK;SJ,SK,S9,SA;C8,CJ,C5,CK;C3,C9,S7,CQ;D4,D5,DA,D9;S5,S4,S3,SQ;S6,C7,S2,S8;DQ,D2,D7,D6;H3,HA,H9,H4;H7,H8,H10,H6;C10,HQ,H5,HJ;HK,S10,H2,D8"
