1571051321,0,1,3,"CA,C7,CQ,C2;C9,C6,C5,C4;DK,D5,D10,D8;C10,SK,CK,C3;SQ,S4,S2,SJ;DQ,D6,DA,D2;D4,CJ,DJ,D3;S9,S10,S7,S6;S8,HQ,D9,D7;HA,SA,S3,S5;H9,H7,H5,HK;H2,H4,H3,H8;H6,H10,C8,HJ"
1571051321,0,0,3,"C6,C8,C7,C2;DJ,D7,D9,D8;D4,D5,DK,DA;S3,SJ,S2,S9;C9,C5,C4,CK;S7,S8,S10,SK;S6,S4,DQ,S5;D3,HK,H2,D6;H6,H3,HJ,H8;CQ,H10,H5,HQ;SQ,SA,H4,HA;C10,D2,CA,H7;C3,D10,CJ,H9"
1571051321,0,4,3,"C6,C4,CK,C2;D5,D7,D2,D10;D8,D9,DA,DJ;D3,D6,DK,DQ;S6,CA,S3,S9;SJ,C7,SK,SQ;S8,H9,C8,C9;SA,S2,CJ,S4;H4,H3,H10,H5;HA,S5,C3,CQ;H6,S7,HK,H7;HQ,H2,D4,HJ;H8,S10,C10,C5"
1571051321,0,0,3,"C7,C4,C8,C2;S8,SJ,SQ,S7;CQ,D8,C3,CJ;D7,D5,D6,D10;H5,D9,DK,D4;DQ,S9,D3,DA;SK,S2,S6,S3;H4,HJ,H9,H2;H6,H7,HK,HA;DJ,C10,H10,H3;CK,S5,S4,SA;C6,C5,D2,S10;HQ,C9,CA,H8"
1571051321,0,0,3,"C10,CJ,CA,C2;D7,DJ,DQ,D5;DK,DA,D9,D3;C7,D6,C3,C8;CK,S2,C5,C9;SK,S4,SA,S10;H7,D4,D8,D2;HK,H5,H6,H10;S6,HQ,H3,HA;S9,H9,H8,C6;SQ,S3,H4,C4;S8,H2,S7,CQ;SJ,S5,D10,HJ"
1571051321,0,18,3,"CA,CQ,C7,C2;S4,SQ,S7,SJ;D9,D6,DA,DQ;C4,C3,C8,CJ;D3,DJ,D7,D2;C10,D5,H6,C5;S2,S6,H10,S5;H9,HJ,HQ,H8;H7,H4,H5,H2;D10,SA,D4,DK;CK,H3,HA,HK;S9,C9,S3,S10;D8,C6,SK,S8"
1571051321,0,0,3,"C6,C7,C3,C2;S2,S6,SJ,S10;D6,D8,D7,DJ;S3,SA,S8,S9;C8,CQ,C5,C4;DK,D2,D3,D4;D5,CJ,H8,CK;HQ,SK,DQ,D10;H5,H3,H6,HJ;S7,H2,H7,H9;SQ,HA,S4,S5;HK,C9,D9,DA;H4,CA,H10,C10"
