1569978766,0,0,2,"C2,CA,C7,C10;D5,DK,DJ,DA;S6,S9,S8,S7;C5,CQ,C9,C3;S4,SA,S3,SK;SQ,S10,S2,S5;D7,D10,D8,D4;D2,DQ,C8,D9;HK,HJ,H10,H5;HA,H8,H6,D6;H3,HQ,C4,C6;H4,H2,SJ,D3;H7,H9,CJ,CK"
1569978766,0,0,2,"C2,C8,C10,CQ;DK,D6,DA,SJ;S3,S5,S4,D4;C9,C5,CA,CJ;S10,S6,D7,S8;S9,SA,DQ,SK;D3,C6,D9,D8;C3,DJ,C7,CK;C4,D5,D10,SQ;H3,H9,H6,H4;HQ,HJ,H5,H2;HA,S2,H7,H10;HK,D2,S7,H8"
1569978766,0,0,2,"C2,CJ,C8,CA;S10,S8,S3,SJ;D7,DK,DA,D4;CK,C6,C10,C9;C4,C3,D8,CQ;S5,S6,SK,SA;D10,D6,DQ,D9;S7,S9,S2,S4;H5,H4,HJ,H8;H10,H2,HK,H9;HA,HQ,C5,D5;H6,H3,SQ,C7;H7,D2,D3,DJ"
1569978766,0,0,2,"C2,CQ,C7,C9;D3,D8,D4,DQ;C3,C10,CJ,SK;S10,SA,S5,S7;D9,DK,S9,DA;C6,CK,DJ,C8;D5,D2,D7,C5;SQ,S6,S8,H8;S2,S4,SJ,H6;CA,C4,H5,HQ;S3,D10,H3,H7;H4,H9,H10,HA;H2,HJ,HK,D6"
1569978766,0,0,2,"C2,SJ,CJ,CQ;SK,S8,S9,S7;D8,D10,D9,DQ;D5,D2,DA,C10;C4,SQ,CA,C6;D7,DJ,CK,C8;S6,S2,S4,S5;D3,S10,C7,D4;D6,SA,C9,S3;DK,HK,H6,H7;C3,H8,C5,H3;H2,HQ,H5,H9;HJ,H4,H10,HA"
1569978766,0,16,2,"C2,CK,C4,C9;S10,S7,SA,S4;D2,D9,DQ,D3;CJ,CA,S2,C8;DK,DA,D7,D5;SJ,S3,SQ,S8;C6,DJ,C5,C3;C10,D6,S6,D4;C7,SK,S9,D8;CQ,H5,HK,H4;H10,HQ,H3,H7;H6,HA,H9,H2;HJ,H8,D10,S5"
1569978766,0,0,2,"C2,C5,C7,CJ;S7,S9,S5,SK;D10,D5,DJ,D3;SQ,C6,S10,S3;D8,D6,D2,D9;S4,CQ,S8,S6;CK,DA,C4,C3;DQ,D4,D7,CA;DK,H10,SA,S2;C9,HK,SJ,C8;HA,H6,H4,HJ;HQ,H3,H9,H2;H7,H8,H5,C10"
1569978766,0,20,2,"C2,C5,C10,C9;S8,S5,SK,SJ;D8,DJ,D5,D4;CK,C3,CQ,CA;DK,D7,DA,D6;S9,S4,S7,S6;S2,S10,S3,SA;SQ,C8,C7,C4;H5,H6,H9,HK;H3,D3,H7,H4;H2,D10,HJ,D9;H10,HQ,C6,DQ;HA,H8,D2,CJ"
1569978766,0,5,2,"C2,C9,CK,CJ;S2,SK,S6,S10;D10,D2,D7,D3;D5,D4,DQ,D9;S7,S8,S9,C3;DA,D8,S5,DK;C7,C4,C5,C6;DJ,SA,S3,D6;H5,H2,HK,HJ;S4,SQ,H3,HA;H7,C8,HQ,H6;H10,H4,CA,C10;H8,H9,SJ,CQ"
1569978766,0,0,2,"C2,CA,C4,C10;SK,D7,S10,S4;SJ,C8,SA,S8;D3,D5,D4,D9;CK,C5,C7,C9;C6,DQ,CJ,S7;DJ,D2,S6,D8;DK,D6,S3,CQ;S5,H9,H2,SQ;HK,H5,H3,H4;C3,D10,HQ,HA;S9,DA,HJ,H6;S2,H7,H10,H8"
