1569978297,0,26,1,"C2,C6,C7,C4;D7,DA,D9,D10;SK,SQ,S7,S10;S5,S2,S8,S4;CK,CQ,C3,C5;D6,D5,D2,D8;CA,CJ,C10,C9;SJ,DQ,S9,SA;HK,H2,H5,H9;HQ,H7,DJ,H10;HJ,H3,S3,H6;HA,H8,D4,S6;H4,DK,C8,D3"
1569978297,0,8,1,"C2,C7,CQ,C10;SA,SK,S8,S10;D3,D9,DQ,DA;S2,S5,S7,D7;D6,D4,D5,D10;DJ,CJ,SQ,DK;CK,C6,C9,C5;S6,S4,D2,S9;SJ,HJ,D8,H6;C8,CA,C3,H10;H3,HK,H9,H2;HA,H5,H8,H4;H7,HQ,S3,C4"
1569978297,0,6,1,"C2,CQ,C9,CJ;S5,S8,S4,SQ;D9,DQ,D8,D3;C5,C7,CA,S7;C8,D10,C3,DK;SK,S2,SA,HA;C6,D5,HJ,C4;C10,S10,H3,CK;H8,H6,H10,HQ;D7,D6,H5,DA;S6,SJ,HK,S9;D2,H9,DJ,H2;S3,H4,D4,H7"
1569978297,0,15,1,"C2,CK,C10,C8;SA,S3,S7,S5;DK,D5,D9,D6;S8,S10,S9,S2;C3,C6,C7,D8;S4,SK,SQ,S6;D3,DQ,DJ,DA;D4,CA,D2,D7;D10,HQ,HK,H8;H5,H9,HA,HJ;CJ,H7,H10,C9;SJ,H3,H6,CQ;C4,H4,H2,C5"
