1571051087,0,3,3,"CQ,CA,C9,C2;C6,C7,C10,C3;D3,D2,D9,D5;SA,S2,S5,S4;D6,DJ,D8,D7;S10,SJ,S9,S6;HA,H9,DA,D4;SK,H7,HQ,DK;SQ,HK,S3,DQ;H2,H8,S8,H4;C5,H3,C8,C4;H6,S7,H5,HJ;CK,CJ,D10,H10"
1571051087,0,7,3,"S2,CK,C8,C2;S10,SA,S7,S5;H4,CJ,C7,C5;H7,HK,HJ,HQ;D8,S4,S3,S9;DK,D4,D3,D7;H2,C10,CQ,H9;H5,SK,C9,H8;SQ,DJ,D10,D9;C4,HA,S8,S6;C6,CA,D6,C3;D2,H10,D5,DQ;H3,H6,SJ,DA"
1571051087,0,9,3,"C10,C7,CJ,C2;D10,D3,D6,D9;SA,SK,S8,S9;DQ,D5,D7,D8;C6,DK,DA,D2;SQ,SJ,S5,S3;C9,C4,C3,CK;S10,S2,H9,S4;HJ,C5,HK,C8;H5,H7,H8,H3;HA,H2,H4,H10;S6,H6,S7,HQ;D4,CA,DJ,CQ"
1571051087,0,16,3,"CQ,CJ,C8,C2;C6,C10,C4,C9;DJ,D3,DK,D6;SQ,SK,S4,S7;D5,DA,D9,D10;S9,S2,SJ,S5;C7,HJ,DQ,CK;HA,D7,H8,D8;SA,S6,S8,CA;H2,H10,H5,H4;HK,C5,S10,S3;D2,H9,H3,H6;C3,HQ,D4,H7"
1571051087,0,2,3,"C5,C7,C8,C2;D7,DJ,D9,DA;C4,CA,S6,C10;S10,S8,S5,S3;S2,S9,S7,SA;D3,D8,D2,D4;DQ,D10,D6,DK;SK,HA,H10,D5;HK,H2,HJ,HQ;H4,H3,H6,H8;SJ,C9,CJ,C6;H9,S4,H5,H7;SQ,CK,C3,CQ"
1571051087,0,3,3,"C8,C6,CK,C2;S5,S6,S2,SJ;SA,SQ,S4,SK;D4,DA,D10,DQ;C4,C10,CQ,CA;S9,CJ,S7,S10;S3,D6,HJ,S8;H6,C9,H3,H9;DJ,D7,C3,D2;D5,H4,H7,H10;C5,H5,HQ,H2;HK,D9,H8,HA;DK,D8,C7,D3"
1571051087,0,5,3,"CJ,C4,CQ,C2;C9,CA,CK,C8;S9,S5,SJ,SK;C10,C5,C7,C3;S7,SA,S10,S6;DA,DK,D5,D3;D10,D9,D4,D2;HK,DQ,D6,D8;H5,H4,H6,H10;H7,H3,H9,H2;S4,HJ,HA,S8;S2,HQ,C6,SQ;D7,DJ,H8,S3"
