1569978270,0,7,2,"C2,S10,C5,CK;D10,D2,DK,D5;C9,S6,C8,C4;C7,S3,C3,CJ;S8,SQ,S7,CQ;SJ,S4,C6,S9;D8,D7,DQ,D9;D6,SK,D4,D3;DA,H4,H5,DJ;C10,HQ,CA,H7;H6,H8,H3,HA;S2,H9,HK,S5;SA,HJ,H10,H2"
1569978270,0,0,2,"C2,C4,CK,CA;D6,DJ,D7,D2;SQ,S4,S7,S9;S3,S6,S5,S2;DQ,D9,D5,D3;S10,SK,S8,DA;CJ,SJ,C7,C3;C6,DK,C9,C5;D4,D10,H5,HQ;C10,H10,H3,H2;C8,H7,D8,HJ;CQ,H9,HK,H8;SA,H4,HA,H6"
1569978270,0,8,2,"C2,C5,CK,C8;S6,S9,SQ,S3;SA,S2,SJ,S4;S8,S5,SK,C7;DJ,D4,D8,D6;D5,D2,C3,D9;D10,D3,DK,S10;DQ,D7,DA,C4;C10,C6,CJ,H2;HA,HQ,H10,H9;H4,H8,H5,H7;S7,HK,CA,HJ;CQ,H6,C9,H3"
