1569980800,0,0,2,"C6,C4,C7,C2;DQ,D5,DK,D8;SK,S7,S4,S5;SQ,S9,S3,S10;S6,SA,D2,S8;SJ,C9,CJ,S2;D3,DA,D10,D6;CK,C10,C8,DJ;C5,D9,C3,D4;CA,H3,CQ,H2;H7,H10,H6,H9;HQ,H4,H8,H5;HA,HK,HJ,D7"
1569980800,0,22,2,"C3,C10,CA,C2;CJ,CQ,C5,C4;DA,DJ,DK,D9;S5,S10,S3,SK;C6,C8,CK,S7;D8,D10,D7,D6;SA,S9,S8,S4;C7,SJ,DQ,SQ;C9,S2,D3,H4;H10,H7,H6,H5;HA,HJ,H8,H9;H3,D5,HK,H2;D4,S6,D2,HQ"
1569980800,0,25,2,"CK,C5,C9,C2;D3,D4,DK,D7;S7,S4,D6,S6;DA,D8,DQ,D10;C6,CJ,CA,C8;D2,D5,DJ,SA;S9,S2,S10,D9;SQ,SJ,C4,S8;C3,CQ,HJ,C10;H10,H2,HQ,H5;SK,HA,H4,H7;S5,H3,C7,H9;S3,H8,H6,HK"
1569980800,0,0,2,"C4,C6,CQ,C2;DJ,D7,D8,D2;S10,S3,S5,SK;C7,C5,C9,CJ;DK,D5,S8,D9;D10,D6,SA,D4;DQ,SJ,S6,D3;DA,S9,C8,S4;CK,C10,C3,CA;H2,H7,HA,H10;SQ,H8,HK,HJ;S2,H6,H9,H5;S7,HQ,H3,H4"
1569980800,0,0,2,"CJ,C3,CK,C2;D10,D2,DA,D3;S2,SK,S4,S5;C6,C10,CQ,C4;DK,D8,D6,DQ;S3,S8,C9,SJ;SA,S6,D4,SQ;S9,S7,DJ,CA;D7,D9,C8,D5;C5,C7,H10,H5;H2,HQ,H6,H9;H3,H4,HA,HJ;S10,H8,HK,H7"
1569980800,0,13,2,"C3,CA,CJ,C2;C9,C5,C8,C4;D9,D4,D3,DK;SQ,SJ,S5,S3;S9,SA,SK,S6;DA,D6,D8,D2;D7,S8,C6,DJ;S2,S10,C10,S4;HQ,CK,H7,H6;H8,S7,H4,H2;H5,CQ,H10,HK;DQ,D10,HJ,H9;HA,D5,H3,C7"
1569980800,0,0,2,"C6,CQ,C3,C2;S5,S3,SQ,S8;D8,DK,D6,D7;S6,SK,S2,SA;CJ,C4,CA,CK;S7,D4,S4,SJ;D2,DQ,D10,DA;C9,C7,C10,S10;D5,HK,D9,DJ;HA,HQ,H4,H3;H7,H6,H10,H2;C8,H9,S9,C5;D3,HJ,H8,H5"
1569980800,0,2,2,"C7,C8,CA,C2;S7,SA,S2,S3;D7,D3,D10,D4;S9,SQ,S8,S10;C3,C10,CJ,CQ;S4,D2,SK,D8;DA,DJ,D9,D5;DQ,DK,HJ,D6;C4,H7,H2,C9;HK,H6,H5,H10;H9,HA,C5,H8;S5,C6,S6,H4;H3,SJ,CK,HQ"
1569980800,0,0,2,"C9,C5,C8,C2;S5,SA,SQ,S8;D10,DJ,D7,D5;C10,C7,D6,C4;SK,CJ,SJ,S3;S10,D4,S9,S7;S2,CK,DA,S4;C3,CQ,C6,D9;H6,HQ,HA,HK;D8,DQ,D3,H4;H2,H3,H10,H5;HJ,S6,H8,H7;DK,CA,D2,H9"
