1569979562,0,10,2,"C8,DJ,C7,C2;D8,D2,D3,CQ;S9,S2,S7,S3;DK,D5,DA,SK;C10,C3,D10,CK;SA,S6,S5,SQ;S8,C9,S4,SJ;C4,C5,D6,D4;C6,DQ,CA,D7;CJ,HQ,HK,H4;H7,H2,HA,H3;H9,H8,H6,D9;HJ,H10,H5,S10"
1569979562,0,4,2,"CQ,C10,CA,C2;DQ,D3,D6,D2;S4,S5,S9,SQ;DK,CK,D5,D4;S3,S2,S8,S6;C4,C5,C7,C9;S10,C3,SA,SJ;CJ,D10,D7,C8;S7,D9,DA,SK;H8,H10,H7,HQ;H6,H9,HJ,H3;H2,HK,D8,H4;HA,DJ,C6,H5"
1569979562,0,7,2,"C7,C8,C10,C2;D5,DA,D8,DQ;CQ,C6,S6,C9;C4,C3,D6,CA;S7,S5,S9,S4;D4,D9,D7,S3;DJ,D3,DK,S8;C5,D2,CJ,CK;SK,HA,SJ,S2;H3,H9,H2,H5;HJ,HK,H6,H8;SQ,D10,S10,HQ;H7,H4,SA,H10"
1569979562,0,0,2,"CK,C10,CJ,C2;D5,DJ,D8,DK;C6,CQ,SA,C8;SQ,S7,S10,S3;D3,D2,D4,DA;DQ,C4,D6,D7;S4,SK,S9,S6;C3,D9,S5,C5;S2,CA,S8,H2;HK,H9,H4,H8;H6,HQ,HA,SJ;H7,H5,D10,H3;HJ,C7,C9,H10"
1569979562,0,3,2,"C10,C6,C5,C2;SQ,S2,S3,S5;DA,D3,DQ,DJ;C4,C8,C3,CJ;D2,D6,CQ,D8;SK,D10,S9,S10;SJ,D9,SA,S7;CA,D4,C7,C9;H9,HJ,H3,H10;H7,HQ,S4,HA;H8,D5,S6,HK;H6,H5,DK,S8;H4,H2,CK,D7"
1569979562,0,0,2,"CQ,C10,C3,C2;S10,S3,S9,SJ;D3,DQ,D5,DJ;C6,C9,C4,C8;D7,D10,DA,D9;S8,C7,S2,SQ;S5,CJ,S7,SA;S6,D4,CK,S4;SK,C5,H9,H10;H5,HA,H2,H6;D2,H3,H4,D6;HQ,H7,H8,DK;HK,CA,HJ,D8"
