1571051154,0,15,3,"CQ,C8,C4,C2;CJ,C9,CA,C7;DK,D2,D6,D4;S3,S6,SK,S4;D5,DQ,H4,D3;HQ,H10,H5,H7;S10,H6,S8,SJ;HJ,H8,H3,HK;C10,C5,D9,C6;HA,S5,S7,SQ;D8,D10,S2,DA;H2,S9,C3,SA;H9,DJ,CK,D7"
1571051154,0,0,3,"C9,C3,C7,C2;C5,C10,CK,C4;DK,D5,DJ,D8;D4,D10,D6,DQ;S3,SQ,SK,S8;S10,CQ,C8,CA;D9,D7,D2,D3;S2,S4,H2,S7;HJ,S6,HQ,H5;H9,H4,C6,H6;H10,S9,HA,HK;H8,H3,SJ,CJ;H7,SA,S5,DA"
1571051154,0,0,3,"C9,C10,C5,C2;SQ,S4,SA,SK;S2,HA,S8,S9;S6,DA,H7,SJ;H4,H3,H9,H6;DJ,D10,DQ,D2;D9,H5,HJ,HQ;D4,D6,DK,D5;C4,CK,C3,C6;S10,S3,D3,D7;H10,C8,C7,CQ;HK,H8,H2,CA;S5,S7,D8,CJ"
1571051154,0,1,3,"C3,C4,CA,C2;D5,D2,D10,D4;D8,D9,DK,DQ;DA,HK,C10,D6;H8,HJ,HA,HQ;D7,S8,S7,DJ;S2,S6,S4,S10;C9,CJ,C7,C8;H9,CQ,H2,H3;SK,S5,S3,SJ;H6,SQ,H4,D3;H5,C5,H7,S9;H10,CK,C6,SA"
