1569980803,0,2,3,"C4,CA,CQ,C2;D9,D10,D5,D4;C10,C7,C9,CJ;DJ,D3,D7,D8;DA,S4,DK,C8;S10,S5,S8,SQ;C6,SA,SJ,CK;D2,S9,D6,S3;S7,S2,H4,H2;H5,H9,HK,H10;C3,HQ,H3,HA;C5,H6,HJ,H8;DQ,SK,S6,H7"
1569980803,0,6,3,"CA,CJ,C9,C2;S5,S10,S6,S9;D3,D9,DK,D10;S2,S4,SK,SQ;D4,DQ,D6,D8;C6,CK,C3,C10;D5,C8,D7,D2;S8,SA,DJ,S3;H7,H6,HK,H8;C7,H10,H5,C5;C4,H2,HA,CQ;SJ,H9,S7,HQ;HJ,DA,H4,H3"
1569980803,0,18,3,"C8,CJ,C6,C2;D8,D3,DQ,DK;CA,C9,C3,C7;DJ,DA,D7,D9;S2,S7,S5,C4;S8,SA,D2,S4;D4,S9,D5,SK;D10,S10,C10,D6;H2,H8,H3,H4;C5,HQ,H5,CQ;H7,HJ,S3,HK;HA,H6,H9,CK;SJ,H10,S6,SQ"
1569980803,0,0,3,"C9,C8,CJ,C2;D5,D8,D2,D3;S10,SA,S9,S5;DQ,D10,D6,D4;C10,S7,CK,CA;S8,SK,S3,S6;S4,SQ,SJ,C3;DA,D9,CQ,S2;C7,C5,H7,H4;H5,H8,H2,HK;H6,H10,C6,H9;C4,HJ,DJ,HQ;DK,H3,D7,HA"
1569980803,0,0,3,"C10,C4,CA,C2;DA,D4,D2,D8;S6,S4,S3,S10;CQ,C3,C5,C8;D6,D5,DQ,DK;SA,SQ,S8,SJ;CK,D3,SK,C6;C9,HJ,S5,CJ;D10,H5,DJ,D9;HQ,H9,H10,H6;S7,HA,S2,H8;HK,H4,S9,H3;H7,H2,C7,D7"
1569980803,0,0,3,"C4,C5,C10,C2;S10,S7,S3,SK;S2,S8,SA,S5;D7,D2,D3,D5;SQ,C6,SJ,D8;S6,C9,S9,DA;CJ,C8,CK,C3;D4,DK,D9,D6;DJ,D10,H3,DQ;CA,HJ,H9,H10;S4,H8,HA,H6;CQ,H2,HQ,HK;C7,H4,H7,H5"
1569980803,0,0,3,"CQ,C5,CA,C2;D9,D5,DK,D7;SA,S5,SQ,S10;DJ,DQ,D3,DA;S4,S9,S8,S2;SJ,S7,SK,S3;C6,C3,CK,C8;C4,C9,C10,D2;D6,D8,D10,S6;C7,H2,HJ,H4;HK,H5,H9,H3;HQ,H6,H10,H7;CJ,D4,H8,HA"
1569980803,0,6,3,"C4,CJ,C8,C2;SA,S2,S7,S6;DA,D6,D10,DJ;DK,D9,CQ,D3;D7,D4,S3,DQ;S9,S4,SJ,SQ;D2,D8,C5,D5;S8,C10,C9,SK;C6,C3,CA,H8;H10,HQ,H6,HJ;S10,HK,H5,C7;H2,H4,H3,HA;CK,H9,H7,S5"
