1570124966,0,5,0,"C8,C9,CQ,C2;S2,S6,S9,S3;C10,CK,CJ,C7;S5,SA,SQ,H10;D5,DA,D8,DJ;H5,HJ,HQ,HK;C6,D9,CA,C5;S8,H3,S7,SK;H8,D7,H9,H7;H2,H4,S10,DK;HA,D2,D6,D3;H6,DQ,S4,D10;C4,C3,SJ,D4"
1570124966,0,8,0,"C4,C10,CA,C2;S4,SQ,S10,S3;D2,DQ,DK,D3;D7,D6,D9,DA;C8,H2,C5,C9;S2,S6,S9,CK;S8,SK,H5,D10;S7,S5,H9,C7;SA,HK,C6,CQ;CJ,HJ,H10,C3;SJ,H6,H7,DJ;H4,HQ,H3,D4;D5,H8,HA,D8"
1570124966,0,7,0,"CJ,C7,C8,C2;D4,DJ,D8,D2;DQ,D7,HA,DA;C10,CA,C4,CQ;D9,D3,D5,S10;C5,C9,C3,S8;S7,S4,S6,SK;S5,S3,SJ,S9;DK,H6,SQ,D10;H4,HJ,HK,H2;H3,H8,H9,H7;SA,H5,C6,S2;HQ,CK,H10,D6"
1570124966,0,14,0,"C4,CJ,C6,C2;S10,S8,S9,SQ;D6,DQ,D8,D2;C5,C9,D3,CA;S3,SJ,SA,S4;DK,CQ,H4,D10;H7,H3,H8,HJ;DA,D4,H5,C8;S5,D5,HK,S2;D7,H10,C10,SK;S6,C7,H9,S7;HA,DJ,H2,HQ;H6,D9,C3,CK"
1570124966,0,4,0,"CJ,C4,CA,C2;D3,D6,D7,DA;S5,S2,S10,S4;SJ,SQ,S8,S9;S7,S3,H7,HQ;H2,HK,H6,HA;C8,H5,C7,CQ;C3,C10,SA,CK;DJ,DK,D10,D4;D8,D2,C5,H9;HJ,C9,H4,H10;D5,DQ,C6,SK;S6,D9,H8,H3"
