1569978262,0,4,3,"C2,CK,C5,C7;SQ,S8,S6,S9;S3,S5,S4,S2;D8,D5,DQ,D6;SK,S10,C4,SJ;SA,S7,D3,DK;D7,DJ,D9,D4;C9,CJ,CA,C10;C3,H3,C8,H7;H4,H10,H9,HA;HQ,H6,HK,H5;C6,H8,HJ,CQ;D2,D10,H2,DA"
1569978262,0,4,3,"C2,C4,C5,C9;DJ,D4,DQ,D8;SA,S6,S2,S5;C3,C7,C8,CQ;S4,SQ,D6,S10;S8,D9,S9,S3;DA,S7,D7,DK;D3,CJ,D10,D2;H10,HK,HJ,H8;CK,H9,C10,C6;SK,H2,SJ,H6;H3,HA,H5,H4;H7,HQ,D5,CA"
1569978262,0,11,3,"C2,C3,C9,CQ;SK,S10,S5,S2;DQ,D3,D5,D2;S9,S3,S8,S7;D6,D10,D7,DA;C4,C10,C8,CJ;DK,SA,D4,DJ;D9,S6,C6,C5;D8,CA,S4,C7;CK,HK,H9,H5;SJ,SQ,HA,H3;H10,H7,H8,HJ;HQ,H4,H6,H2"
1569978262,0,5,3,"C2,C9,CJ,CK;C3,C6,C8,C5;S5,S10,S4,S6;D9,DQ,DA,D3;SA,S3,S7,SJ;D8,D7,D5,DJ;DK,SQ,D2,D6;S9,SK,D10,CQ;CA,H4,C7,H9;C4,H10,H5,H7;C10,HQ,H3,H8;H2,HK,S8,HJ;D4,S2,HA,H6"
1569978262,0,8,3,"C2,C7,CQ,C4;SQ,SK,S6,S2;D10,DJ,DA,DK;S10,S8,S9,SJ;DQ,D6,D2,D4;C8,CJ,C10,C5;C3,D7,C9,CA;D3,D9,S5,S7;C6,S3,SA,CK;D8,H3,H8,D5;HQ,HA,H7,H2;HJ,H4,H6,H5;H9,H10,S4,HK"
1569978262,0,4,3,"C2,C9,CA,C5;S2,SK,S4,SJ;C7,CK,D10,CJ;D5,D2,D9,DJ;S6,SA,S10,SQ;S9,S5,S7,C6;D3,DQ,DK,D4;C3,S3,CQ,C10;D8,D7,C4,DA;H5,H3,H8,H6;H10,H4,HQ,H2;HJ,HA,H9,D6;S8,HK,C8,H7"
