1569978284,0,2,2,"C2,C6,C9,CA;S5,S4,S3,SK;D2,D5,D9,D4;C3,C4,C7,D3;S2,S9,S7,SJ;C8,CK,DQ,C5;DK,DA,CJ,D7;DJ,CQ,S8,D6;D10,H3,SA,S6;D8,H9,C10,S10;H5,HJ,H6,HK;HA,H4,HQ,H7;H10,H2,SQ,H8"
1569978284,0,4,2,"C2,CK,C5,CJ;SJ,SA,S7,S2;DJ,DA,D5,D2;D10,DK,D8,D3;C3,C8,C6,C4;DQ,D7,S4,S3;D9,C10,S10,SQ;D6,S6,C7,C9;D4,SK,H2,HQ;H4,HK,H8,H5;CA,H7,H6,H10;S8,HA,H9,S9;S5,H3,HJ,CQ"
1569978284,0,22,2,"C2,C6,CQ,C9;DA,D10,DK,D5;C3,C10,CA,C8;D8,D3,D2,SA;D6,D9,DJ,SQ;S4,S3,S7,S8;C4,CJ,C7,S9;S10,S2,SJ,SK;D4,DQ,H4,D7;H5,H10,H7,H6;H8,HK,H9,HA;CK,H2,S5,C5;S6,HQ,HJ,H3"
1569978284,0,13,2,"C2,C7,CK,C10;D9,D8,D4,D5;SA,S6,SJ,S9;S8,SQ,S10,S2;D2,D7,DQ,DA;C3,CJ,C6,S5;DJ,D3,DK,C4;D6,D10,SK,CA;H5,HK,H3,HJ;CQ,HA,C9,H4;S3,HQ,S4,H6;C5,H2,H9,H8;C8,H10,H7,S7"
1569978284,0,2,2,"C2,C3,SA,CQ;D3,D4,DJ,D9;S5,S3,S8,S10;SJ,S9,SQ,S2;C6,C9,C7,DK;S7,S4,C8,S6;CJ,C4,C5,D5;DA,D10,D6,D7;HA,H9,H10,H7;HK,HJ,HQ,H6;H2,H4,H8,D8;D2,H5,CA,DQ;SK,CK,H3,C10"
1569978284,0,7,2,"C2,C9,CK,C8;C10,S5,C6,CQ;DQ,D7,DJ,D2;DK,D10,D4,DA;C4,S2,C3,CA;S7,S6,S3,SK;SA,S9,C5,S10;D5,S4,D8,D6;C7,HA,CJ,H4;D9,SQ,H6,D3;H5,H3,H2,H9;HK,SJ,H7,HQ;H10,S8,H8,HJ"
1569978284,0,13,2,"C2,C5,CK,C8;D2,DA,D7,DJ;S3,S9,S8,S6;CJ,CA,C4,D6;SQ,CQ,S7,S5;DK,D9,D4,D8;S10,C7,SA,C9;SJ,SK,C6,D10;D5,D3,DQ,H2;HQ,H7,H3,H8;C10,H5,H9,HA;C3,H4,H6,HK;HJ,S2,S4,H10"
1569978284,0,4,2,"C2,C3,C9,C7;S8,S4,S5,S9;CJ,CQ,C8,C5;CA,SA,C6,D6;C10,DK,CK,SK;S10,SJ,S6,S2;D8,D10,DQ,DJ;D3,D9,D7,D4;D5,C4,SQ,D2;S7,H2,H7,S3;DA,H4,HA,HK;H3,H6,HQ,HJ;H5,H10,H9,H8"
1569978284,0,3,2,"C2,CA,CJ,C10;S5,S9,S8,S10;D6,DJ,DQ,D7;D4,D8,DK,D9;C4,C9,SJ,C5;CK,CQ,D3,C3;C7,D2,SK,S6;C6,D10,SQ,S7;D5,S2,DA,SA;S4,S3,H10,H9;H4,H6,H8,HQ;H3,HA,HJ,H2;H5,HK,H7,C8"
