1569978781,0,0,1,"C2,CA,CQ,C10;S2,S10,SJ,S9;D6,D3,DA,D2;S7,SA,S5,S6;D7,D10,DQ,D5;C9,C7,S4,C5;CK,CJ,SK,C8;H10,H5,HK,HJ;HA,D9,H6,H8;S8,C3,H7,S3;SQ,D4,H3,C4;H9,D8,H4,DJ;HQ,C6,H2,DK"
1569978781,0,17,1,"C2,C6,C10,C7;DK,DJ,D10,D5;S9,S10,S2,S3;CA,C9,CK,C5;CJ,CQ,C4,D9;SQ,S4,SJ,SK;S6,D6,S7,D4;D7,D3,SA,D8;DA,C8,H3,C3;D2,HA,H4,S8;DQ,H2,H10,S5;H5,H8,H6,H7;HJ,H9,HK,HQ"
1569978781,0,14,1,"C2,C4,CK,C5;D7,D9,D2,D5;S5,S3,SA,S8;D3,C6,DK,DA;C7,C3,CJ,C9;S7,S9,S6,SQ;D6,D8,DQ,C10;SJ,S4,CQ,SK;D10,DJ,H10,D4;H2,H9,H3,H4;HA,H6,H5,H7;H8,HK,HQ,CA;S2,S10,C8,HJ"
1569978781,0,0,1,"C2,C8,C7,C4;D4,D8,DQ,D3;S2,S4,S6,SA;C10,C6,CQ,C9;D10,D7,DJ,D6;C5,S5,CK,C3;S7,S8,S9,D9;S3,S10,SK,CA;DK,DA,D5,CJ;SQ,H10,SJ,HJ;D2,HQ,H5,H7;HA,H6,HK,H9;H3,H4,H2,H8"
