1569977234,0,16,0,"C2,C4,CK,CA;D3,D9,D7,DA;S7,S5,S9,SA;D8,D4,DQ,D10;C6,C8,C3,C9;S2,S8,S6,SJ;C10,CJ,CQ,C7;D5,D2,DK,H3;H2,H7,H10,HK;SK,S10,HQ,H9;S3,S4,H5,H4;D6,DJ,C5,H6;HJ,HA,SQ,H8"
1569977234,0,14,0,"C2,C7,C8,CK;D10,D4,DA,DK;SJ,S9,S10,S3;CQ,C5,CJ,C9;D8,D2,D3,D6;D9,D5,DQ,S7;CA,H4,C10,C3;D7,HJ,DJ,HK;S6,S8,SK,SA;SQ,S2,S5,H9;H7,H3,H10,H6;C4,H5,H2,C6;HA,HQ,H8,S4"
1569977234,0,4,0,"C2,C9,CA,C6;S6,S5,S9,SA;CK,C8,CJ,C5;CQ,C10,C3,D10;SK,SQ,S8,S4;S7,S2,S10,H8;D9,D8,D4,DK;C7,H5,D2,H10;C4,D6,H9,DJ;SJ,S3,H2,DA;H7,H4,H6,HQ;D5,D3,DQ,H3;D7,HA,HK,HJ"
1569977234,0,0,0,"C2,C3,CK,C4;DA,D8,D5,DK;D4,D2,D10,DJ;C9,C5,C10,C6;SK,S10,SJ,S6;S3,S8,S5,H6;D3,D6,H8,DQ;C7,CQ,H10,C8;H7,H3,H9,HK;H5,HQ,HA,HJ;H4,S2,CA,H2;SQ,S9,D7,SA;CJ,S4,D9,S7"
1569977234,0,0,0,"C2,C9,CK,C5;D5,DK,DA,D2;S8,S10,SK,S4;CA,CJ,CQ,C4;C10,C8,C3,C7;DQ,D10,D6,D9;D3,D4,H2,D8;SJ,SA,S2,S6;S3,SQ,H6,S9;S5,H3,HQ,H8;S7,H10,H7,H5;HJ,C6,H4,HA;H9,HK,DJ,D7"
1569977234,0,15,0,"C2,C4,CJ,C7;D3,D4,DA,D10;CA,C9,CQ,C10;S2,S9,SA,S7;D5,D6,DK,C3;C5,HQ,C8,DQ;SK,SJ,S4,S6;CK,H6,H2,C6;S3,H10,SQ,S8;H4,H5,HA,H8;HJ,H9,H3,HK;D2,D7,S5,D8;S10,DJ,H7,D9"
