1569977194,1,1,2,"C2,S8,CK,C10;S2,SJ,S10,SA;D5,D7,DJ,D4;CQ,HK,C6,C3;C9,HQ,C7,CJ;H2,HA,HJ,H8;D9,S4,D3,D6;D8,S5,DQ,DA;H5,C8,H7,H9;SK,S3,H3,S6;S9,S7,H6,CA;DK,C5,D2,H10;D10,SQ,C4,H4"
1569977194,1,5,2,"C2,C7,CK,C6;D10,D6,D9,DQ;S8,S2,SK,S10;D5,DK,D8,D3;S3,SQ,S7,S9;C3,CA,C10,C9;S6,S4,SJ,H9;D4,H2,H7,DA;D7,D2,H5,H8;DJ,HA,C5,CJ;HJ,HQ,H10,C4;HK,H4,SA,H6;C8,CQ,S5,H3"
1569977194,1,1,2,"C2,C6,C7,CA;S7,SQ,S4,S6;S3,SJ,SK,S10;D7,D9,D3,DK;DA,DJ,D6,D5;C10,C4,CK,C5;S2,S8,HK,S9;CJ,H10,CQ,C3;HQ,H8,H7,H5;D10,D2,DQ,H4;H6,H9,H2,HJ;H3,SA,D8,HA;C8,S5,C9,D4"
