1569978291,1,0,3,"C2,C7,C9,CJ;D2,DQ,D9,D3;C10,C8,C6,CQ;S6,SA,SQ,SJ;DJ,SK,D10,D6;D5,C4,DA,D7;S10,CK,S2,S5;S8,C3,S3,S9;D4,H8,D8,H4;HK,H3,H2,H7;CA,H5,C5,H10;HQ,HA,S7,H6;HJ,S4,DK,H9"
1569978291,1,0,3,"C2,CQ,CA,C7;S3,S6,SA,S8;D10,D9,DA,DJ;SK,S2,S10,C8;D2,D3,D8,D7;D4,C6,D6,DK;C10,CJ,SJ,C5;C9,D5,DQ,CK;S9,S7,HQ,H6;SQ,H10,H3,H5;S5,H4,H7,HK;S4,HJ,H9,C4;H2,HA,H8,C3"
1569978291,1,3,3,"C2,C3,C6,C5;S7,S10,D3,S5;S4,DK,S8,SJ;D5,D4,DJ,D10;S3,C8,CJ,SA;S2,C9,S9,CA;SQ,CQ,D8,S6;DA,D2,D9,DQ;SK,HA,H6,C7;H9,HJ,C4,H4;H8,H3,CK,HQ;H2,H7,C10,H10;H5,HK,D6,D7"
1569978291,1,5,3,"C2,SK,C10,CK;D7,DK,D4,D10;S5,SA,C8,S2;DJ,D8,DA,D2;S8,S4,C6,SJ;SQ,S6,C3,S3;S10,C7,CJ,D5;D3,D9,D6,H9;CA,C4,CQ,H5;C5,C9,S7,HQ;H8,H10,H3,HJ;HK,HA,DQ,H2;H4,S9,H6,H7"
1569978291,1,3,3,"C2,C3,CA,C9;S5,S7,S6,S9;C10,C8,CQ,C6;DJ,D7,D3,DK;D9,D2,D6,D4;CK,CJ,C5,C4;S8,S3,S10,SQ;DA,D5,H6,D8;SA,SJ,HA,S4;SK,HJ,HQ,S2;C7,H2,H10,H9;H3,D10,H8,HK;H5,DQ,H7,H4"
1569978291,1,4,3,"C2,CQ,C5,C9;C8,C4,C7,C10;S9,S8,S3,S10;D5,DA,D10,DJ;SK,C6,SA,SJ;CA,D9,S5,CK;D2,HK,DQ,D7;HA,H8,HQ,D4;S2,H9,S4,S7;CJ,H4,C3,H2;D3,H7,DK,D8;HJ,H5,D6,H3;H10,H6,SQ,S6"
1569978291,1,4,3,"C2,C5,C10,C7;D7,DJ,D6,D5;CK,C3,C8,CJ;D4,D8,DA,D9;S7,SQ,S9,S3;SJ,S4,S6,S8;S2,S5,D3,S10;CQ,C4,CA,D10;HA,H9,HK,H2;H8,H7,HJ,H5;DK,DQ,H3,D2;SK,SA,H10,HQ;C6,H4,C9,H6"
1569978291,1,0,3,"C2,CQ,C9,C5;DQ,D10,D4,D3;S5,SJ,S6,SK;C10,CK,C8,C6;S8,S10,S3,SA;C7,D5,SQ,S9;CA,D9,DK,D7;CJ,D6,S4,DA;C4,D2,H7,H9;C3,S2,H10,HA;H4,HK,HQ,H3;S7,HJ,DJ,H8;D8,H5,H2,H6"
