1571051116,1,14,3,"CJ,CA,C10,C2;S4,SK,S5,S2;SA,S3,S10,S9;C5,CQ,CK,C9;SQ,SJ,HK,S8;HQ,H7,H10,H5;DQ,DJ,DK,D5;D10,D7,D3,D8;H4,C8,H2,H9;D9,S7,H3,HA;D6,C4,H6,HJ;C7,S6,C3,H8;C6,D2,D4,DA"
1571051116,1,2,3,"C9,CJ,C3,C2;D8,D6,D10,DK;C5,C7,CK,C10;D2,D7,D3,DQ;DA,D9,S8,D5;S2,S9,SA,S4;CQ,C4,H8,CA;S6,S7,S3,SK;H7,H2,H3,H9;S5,H5,S10,SQ;HA,C8,HQ,C6;H6,H10,DJ,H4;D4,HJ,HK,SJ"
1571051116,1,14,3,"C8,C10,C3,C2;SQ,S4,SJ,S5;DK,DQ,D5,D8;C5,C4,DJ,C6;CK,CJ,D7,C7;S6,D10,HQ,D2;H2,D9,SA,D4;S10,S2,CA,S3;H6,H10,H5,H7;H3,HA,DA,H4;S7,H8,D6,H9;D3,HK,S8,C9;S9,HJ,SK,CQ"
1571051116,1,7,3,"CJ,C3,C10,C2;S5,S6,S10,S7;C9,C4,C6,C7;D3,D6,DA,D5;D4,D2,DQ,D10;D7,D9,DJ,DK;S3,SQ,SA,S4;SJ,S8,H8,SK;HJ,CQ,H2,C8;H9,CA,HQ,H4;HA,H7,CK,S9;H5,H3,C5,S2;H10,HK,D8,H6"
1571051116,1,1,3,"C5,C9,C3,C2;SA,S7,SJ,S3;DA,D2,S2,D4;C10,CJ,C7,C8;S10,S8,S4,S5;DQ,D6,CA,D8;D5,SQ,D7,DK;DJ,CQ,C4,C6;CK,S9,HK,SK;HJ,H6,H4,H9;HQ,H8,H7,H2;D3,H5,H10,D10;H3,S6,HA,D9"
