1569980792,1,13,1,"C5,C3,CQ,C2;D7,D5,DK,DQ;S2,SA,S3,S4;C8,C9,CJ,C4;D6,D2,D8,DJ;SJ,S6,S5,S10;SK,CK,S8,S7;S9,CA,DA,D3;SQ,C6,C7,C10;H10,HK,HQ,H4;H5,H2,H6,H3;HJ,HA,D9,H9;D4,H8,D10,H7"
1569980792,1,17,1,"C7,CQ,C3,C2;D3,D5,DA,DQ;D6,D7,D9,D10;CA,CK,SQ,CJ;C8,C6,S9,C10;DJ,DK,D2,SK;S3,S8,SJ,S4;H5,H2,H3,H10;H7,HJ,D8,H8;S7,S10,H9,S6;SA,H6,S5,S2;C9,HK,HQ,C5;C4,HA,D4,H4"
1569980792,1,13,1,"CK,CA,CQ,C2;S8,S10,SQ,S3;C9,C3,C8,S2;D4,D3,DK,D8;CJ,C4,C7,D7;SA,S6,D2,SJ;C5,D9,D10,S7;C6,DQ,D5,S9;C10,S4,H8,DJ;DA,H5,HA,H6;S5,H9,HJ,HK;D6,H10,H7,H2;SK,H4,H3,HQ"
1569980792,1,9,1,"C6,CA,C7,C2;D7,DA,DQ,D10;CJ,C8,C4,C10;S2,S6,S8,S9;SJ,SK,SA,S4;D8,D4,DK,S7;S3,DJ,SQ,S5;D2,D9,D5,C9;D6,S10,CK,C5;CQ,H3,C3,H7;HJ,H2,H9,H6;D3,H4,HQ,H5;H8,H10,HA,HK"
1569980792,1,13,1,"C6,CK,C10,C2;D10,D9,D6,D4;S9,S8,S5,SK;C5,C4,C7,SA;DK,DQ,D8,DJ;S6,S3,S7,S4;D2,DA,D7,CQ;S2,SQ,S10,C9;D3,D5,SJ,C3;CJ,HK,H8,C8;H4,H7,H10,H3;H2,H9,HQ,HA;CA,H5,HJ,H6"
1569980792,1,13,1,"CQ,C9,C3,C2;SA,S10,SQ,S7;CK,C8,C5,C10;SJ,S6,S8,S9;D3,D10,DJ,D9;S2,S3,SK,S5;D7,DA,D2,DK;C6,C4,D6,C7;CA,D5,DQ,D4;CJ,H7,H10,D8;HA,HK,H8,HJ;H3,H6,H9,HQ;S4,H2,H5,H4"
