1569977214,1,0,0,"C2,C4,CK,C10;CA,C6,C9,C3;DQ,D10,DA,DJ;SJ,S9,S8,S2;C8,S10,C7,CJ;D4,DK,D6,D5;S6,S4,H3,S5;S7,SQ,HK,H10;HJ,H8,H5,HA;H9,D8,H6,H4;SK,D2,C5,S3;SA,D9,CQ,H2;HQ,D7,D3,H7"
1569977214,1,14,0,"C2,C4,C7,C6;D5,D7,DQ,D2;S6,S2,S4,SJ;C5,C9,SK,C10;C8,S7,D6,CA;CK,H10,SQ,CJ;D3,D4,D8,DK;CQ,S10,S5,H2;D9,H3,DJ,HA;S3,S9,HQ,H4;H9,HJ,H5,H6;SA,S8,HK,C3;D10,H8,H7,DA"
1569977214,1,4,0,"C2,C6,C8,C10;CQ,C5,C7,CA;D10,D6,DA,D7;D2,HQ,DQ,DK;D3,H4,D5,DJ;H10,H5,H6,H7;S2,SK,S5,S8;C9,C4,CJ,D4;S4,SQ,SA,D8;SJ,S9,HK,S7;CK,H2,HJ,S6;C3,S3,H9,D9;H8,H3,HA,S10"
