1569982475,1,0,2,"C5,CK,C10,C2;D3,DQ,DK,D10;CJ,CA,C9,SJ;S3,S2,SA,S4;C7,C3,D2,C4;CQ,D6,S7,D5;DJ,D9,D7,D4;D8,DA,S8,S9;S6,HQ,S10,H10;HA,H9,H2,H6;H4,HJ,SQ,H3;HK,S5,H7,C8;H8,SK,H5,C6"
1569982475,1,14,2,"CQ,CA,C5,C2;S8,S7,S2,SA;CJ,C3,C4,C8;DQ,D5,D8,DK;D2,D6,D7,D4;CK,C7,C6,C10;SQ,S3,S4,H4;H10,H2,H6,HK;H9,D9,H3,DA;HA,D10,H8,S10;HQ,C9,H7,DJ;HJ,S6,S5,D3;H5,SK,S9,SJ"
1569982475,1,0,2,"C7,C5,C8,C2;SJ,S4,S9,SA;D9,D2,D6,DQ;SK,S2,S7,S6;S8,D7,S5,S3;C9,CK,C6,D10;CJ,C10,C3,D8;CQ,DJ,SQ,D3;C4,H6,H2,H4;HA,H8,HQ,H5;H7,H10,HK,HJ;H9,DA,D5,D4;H3,DK,S10,CA"
1569982475,1,0,2,"C10,CQ,CJ,C2;S5,S8,S7,S3;DJ,DA,D3,DK;SJ,SA,S6,S2;D4,D9,S9,D6;CK,C6,C7,C3;C9,S10,C8,CA;D2,D5,SK,DQ;S4,SQ,C4,H7;H10,H5,HA,HK;H6,H8,H9,H2;D8,HJ,D7,H3;C5,HQ,D10,H4"
1569982475,1,1,2,"CK,C7,C9,C2;S7,S5,S2,S9;CQ,C5,C4,S8;CA,C3,C8,SK;D4,DK,D8,DJ;D5,D2,D7,S6;S3,S10,SJ,SQ;S4,D10,SA,DA;D6,DQ,H6,D9;H8,H2,H5,HA;HQ,HJ,H4,H9;HK,C10,D3,H3;H10,CJ,C6,H7"
1569982475,1,2,2,"C9,C3,C10,C2;S10,SA,S5,S9;CK,C4,C6,CQ;D10,DJ,D9,D6;S6,SJ,S7,SK;SQ,S3,C5,S8;S2,CJ,HA,S4;D3,DA,HQ,D5;H5,H2,HK,H7;H6,HJ,DK,H4;D2,D7,D4,H10;C7,D8,CA,H9;DQ,C8,H3,H8"
1569982475,1,5,2,"CA,C6,C7,C2;S6,SQ,SA,S8;DK,DA,D5,D7;D9,D3,D2,DJ;SK,S5,S4,S7;SJ,S3,C3,CQ;S10,CJ,CK,C8;S9,C5,C9,D4;C4,C10,HQ,HJ;H2,H3,HA,H5;D10,H6,H9,D8;H7,H4,HK,H10;H8,S2,DQ,D6"
1569982475,1,5,2,"C4,C8,C7,C2;SJ,S8,S7,SK;DK,D10,DA,DQ;CK,C5,CQ,C3;D3,DJ,D8,D6;D7,D4,D5,S9;D2,C10,SQ,S4;CJ,CA,S3,HA;HQ,H4,H6,HK;H7,H8,H9,H2;SA,C6,S10,H5;S2,D9,S5,HJ;S6,C9,H10,H3"
1569982475,1,20,2,"CK,CQ,C6,C2;CJ,C4,C8,CA;DA,D6,D2,D3;S7,SJ,S3,S10;D4,D10,D8,D5;S4,SA,S8,S6;S5,SK,S2,DJ;DQ,D7,H10,C7;C3,HK,H5,C5;HJ,H3,C9,H4;H2,HA,C10,HQ;SQ,H9,S9,H8;DK,H6,D9,H7"
1569982475,1,0,2,"CA,C5,C9,C2;DK,D10,D5,D2;DQ,D4,S3,DA;S7,S4,S2,S10;D7,DJ,C6,D9;S9,SJ,SA,SK;D6,CK,D8,C4;C8,C10,C3,C7;SQ,D3,CQ,H8;S8,HJ,H3,H4;S6,H9,HQ,H2;S5,HK,H7,HA;H6,CJ,H10,H5"
