1571051568,1,0,2,"CA,C10,CJ,C2;DK,D2,DQ,D9;CQ,C3,CK,C6;S5,S6,S3,S8;SJ,SA,S4,SK;D4,D7,D8,DA;D10,C9,D6,D3;SQ,S10,S2,S9;H3,HQ,HA,S7;H7,H9,H4,H10;H8,HJ,C4,C5;HK,DJ,H6,C8;H2,D5,H5,C7"
1571051568,1,9,2,"C7,C5,CQ,C2;SJ,S7,S8,S2;D8,D10,D5,DQ;DK,DA,C3,D7;C8,C4,CJ,C9;HA,S5,HK,S6;C10,SQ,CK,C6;D3,D6,H10,D2;H2,DJ,SA,D9;H4,H3,H6,H5;HQ,S4,H8,SK;HJ,S3,D4,S9;H7,H9,CA,S10"
1571051568,1,0,2,"C7,CA,C9,C2;D6,DQ,D4,DJ;SK,S9,S5,S8;S3,S2,S6,S10;D5,D10,CQ,DA;D8,D3,C5,DK;CK,C4,C8,CJ;D2,SA,D9,D7;H8,SQ,H2,S4;HA,H10,H3,C10;HK,HJ,H7,C3;H6,H4,HQ,C6;H5,S7,H9,SJ"
1571051568,1,20,2,"CJ,CK,C8,C2;D2,D5,D10,DQ;D7,DJ,HJ,DK;CQ,C7,C3,C5;C9,HA,D8,CA;D9,H5,S3,C10;S8,S7,S2,S9;H2,H9,S4,C4;D6,SK,DA,D3;HQ,SQ,H4,HK;H7,SJ,H3,H8;H10,S10,S5,H6;D4,S6,SA,C6"
1571051568,1,4,2,"C9,CK,C10,C2;S8,S10,S6,S4;SK,SQ,SJ,S5;DQ,D4,D8,D10;CA,C5,CJ,C7;DJ,D5,D7,D2;S7,C6,C4,C8;D3,H9,H7,DK;H6,H10,S2,D6;H5,H8,H4,H3;H2,C3,HJ,HK;SA,D9,S3,HA;CQ,DA,S9,HQ"
1571051568,1,5,2,"CA,C9,C5,C2;SQ,C4,CQ,C6;SK,S2,D8,S8;S10,CK,S7,S4;D6,D5,DQ,D3;DJ,DK,D9,D2;CJ,C7,H9,C10;D10,D7,D4,DA;SA,H8,C3,SJ;H4,HQ,HJ,HA;H7,H10,S9,H2;S3,S6,HK,H5;H6,C8,S5,H3"
1571051568,1,0,2,"CK,CQ,C9,C2;SJ,S2,SQ,S4;C4,C5,CA,C7;D9,D5,DA,D2;S7,C6,S8,S6;D3,D7,C10,DJ;D8,DK,C3,D4;HA,H9,S5,S9;H5,H7,S3,SK;H6,H4,SA,S10;H3,H2,H10,HQ;DQ,H8,D6,HJ;CJ,C8,D10,HK"
