1569982463,1,4,0,"C6,CK,CA,C2;D3,D2,D5,DQ;C5,CQ,C10,CJ;S6,S5,S3,S2;SK,D6,SQ,S7;C9,C7,C3,DK;S10,D10,S8,S9;C8,D8,C4,DJ;S4,H8,SJ,DA;D7,H6,H4,D9;H2,H5,HA,H10;H3,HK,HQ,H7;H9,D4,SA,HJ"
1569982463,1,0,0,"CA,CK,C5,C2;D9,D2,D6,D7;D5,D8,D3,DA;S5,S2,S9,S10;C7,CJ,CQ,C3;SQ,S6,S3,S8;C9,C10,C4,DJ;S4,SJ,HJ,D4;HQ,H9,H2,HK;H7,H10,C8,SA;H4,H5,D10,S7;H6,DQ,HA,C6;H3,H8,DK,SK"
1569982463,1,1,0,"C4,CQ,C10,C2;SQ,S7,SA,S8;D6,D5,D2,D9;S3,S9,SK,S6;S5,S4,D8,C3;DJ,D4,DA,D3;C5,C9,CJ,C6;DQ,H4,HK,D7;SJ,S10,H2,H7;C8,CA,H5,C7;H10,H8,H9,HA;CK,DK,HJ,HQ;D10,H3,H6,S2"
1569982463,1,5,0,"C7,CK,C9,C2;S5,S10,SK,S6;D10,D4,DA,D7;C10,S4,C5,CQ;SQ,S7,SJ,D2;D9,DQ,D8,D6;S3,S8,C6,S9;DJ,D5,DK,C4;H10,H2,HA,H3;HJ,H5,H7,H9;CJ,CA,C8,H4;S2,HQ,H6,HK;SA,D3,H8,C3"
1569982463,1,0,0,"C3,CJ,C9,C2;C10,CK,CQ,C6;D5,D2,D7,DJ;C4,C7,S4,CA;DA,D9,D6,D4;DK,DQ,S9,S10;D8,S7,S6,S2;S5,S3,S8,SK;C5,C8,HA,D10;HK,HQ,H2,H10;H9,H8,H3,SQ;SJ,H4,H5,SA;D3,H7,HJ,H6"
