1571051327,1,4,3,"C7,CJ,C6,C2;C9,C3,C5,C8;D8,D10,DJ,DA;S3,S10,SQ,S7;D7,D2,D3,DQ;HK,C4,CQ,CK;S5,S4,SK,S2;H6,HJ,H2,H4;H3,H10,H7,H8;SJ,D9,HA,D5;CA,S6,S9,S8;DK,H5,D4,HQ;SA,C10,D6,H9"
1571051327,1,7,3,"C10,C4,C5,C2;S4,S5,S8,SJ;D5,D4,DK,DA;C8,C9,D3,C6;H7,CQ,CK,C7;DJ,D6,D2,D8;H9,H3,HK,HA;S6,SQ,S10,S2;S9,H4,S7,S3;C3,SK,CJ,SA;H2,DQ,D10,D9;H6,CA,H10,HQ;H8,D7,HJ,H5"
1571051327,1,0,3,"C4,C10,C9,C2;D5,D7,D3,DQ;SJ,S4,S10,S3;C5,C6,CQ,CA;D10,DA,D4,D2;S6,S7,S8,SK;SA,SQ,S9,S2;D8,D6,H8,DK;H4,D9,H9,HJ;HQ,DJ,H7,HK;C8,C3,H6,H2;H5,C7,CJ,H10;HA,CK,S5,H3"
1571051327,1,15,3,"C10,C7,C9,C2;C5,CQ,C8,CA;S3,S7,S10,SA;D10,D9,D3,DJ;DQ,CK,DK,D4;SK,SQ,S9,SJ;H6,H10,C4,C6;HQ,H2,H5,H7;H3,S6,HK,S8;HJ,S4,C3,S5;H9,D2,D6,D8;H8,D5,H4,S2;HA,CJ,D7,DA"
1571051327,1,0,3,"CA,C4,C6,C2;D9,D5,D2,D7;C10,CK,C3,CJ;S8,S6,S3,S7;D6,D3,D8,DQ;SJ,CQ,C8,C7;D4,DJ,DA,DK;S4,SQ,SA,S9;HQ,H3,SK,C9;H9,H6,HJ,C5;S10,H4,H7,H10;S2,HK,H8,HA;S5,H2,H5,D10"
1571051327,1,5,3,"C6,C8,C9,C2;S4,S8,S9,SK;S5,S6,S3,S10;C5,C7,H2,CQ;SA,S7,SQ,S2;D7,DA,DK,D10;D9,D3,D5,D6;D2,H9,HA,SJ;CK,DJ,D4,D8;H6,H5,H4,H7;HQ,C10,C3,C4;CJ,H3,HJ,H8;H10,CA,DQ,HK"
1571051327,1,1,3,"C7,CK,C9,C2;S2,SK,S9,S3;S5,S8,H2,SJ;D2,D8,DJ,D7;D9,D10,H4,D4;C4,C8,CJ,C6;HQ,HK,H5,H8;CA,C10,CQ,C5;DA,D5,S10,D3;HA,HJ,H3,H6;SA,DQ,S6,S4;H7,DK,SQ,H10;C3,S7,D6,H9"
1571051327,1,10,3,"C9,C7,CQ,C2;S3,S7,S2,S9;S8,SA,SK,S6;SQ,S10,C5,S4;C4,C3,CK,C6;D5,DJ,D8,DK;H9,H10,HK,S5;D6,D4,DQ,D3;D7,CA,D2,DA;HJ,H2,HQ,H3;H6,H4,C8,C10;H7,SJ,H5,CJ;HA,D9,H8,D10"
