1570124982,1,4,0,"CK,C7,CA,C2;S3,SA,S5,S9;C10,C4,C9,C6;DJ,D10,D8,D3;D2,DQ,D4,D6;SQ,S7,S8,S6;CQ,C5,C8,SK;CJ,H2,C3,HJ;H6,HA,H4,H5;D5,S10,D9,SJ;H9,D7,HK,HQ;H3,H7,DA,H8;S4,H10,DK,S2"
1570124982,1,0,0,"CJ,C7,C5,C2;SJ,S7,S5,S10;C3,CK,CQ,C10;SA,S6,S9,S8;SK,D2,S3,S2;SQ,DJ,H5,DQ;H2,HQ,H3,HK;D10,D9,D6,D8;D7,HA,DA,D5;H8,CA,H4,H6;HJ,DK,H7,C9;H10,C8,H9,C6;C4,D4,S4,D3"
1570124982,1,8,0,"C6,C9,C4,C2;S8,S4,SK,S7;DA,D7,D4,D2;S10,S9,SJ,SQ;CQ,C5,C3,C10;DJ,D8,D10,D9;D3,DQ,D6,D5;C7,H3,SA,CK;HJ,HK,H7,H5;HQ,H4,H10,HA;S2,CJ,S6,S5;H8,H9,CA,H6;H2,DK,C8,S3"
1570124982,1,5,0,"C5,C4,CA,C2;CQ,C7,H10,C8;SA,S3,S7,SK;C3,C9,S6,CK;HJ,H9,H8,H7;S10,SJ,S9,D2;S8,DK,S4,HQ;D10,D9,D7,D5;CJ,C6,C10,D6;SQ,H5,S5,D3;DJ,DA,H3,DQ;H2,D4,H4,H6;D8,HK,S2,HA"
1570124982,1,1,0,"CQ,C10,C9,C2;D2,DA,DK,D10;DQ,D5,C8,D9;DJ,D3,H10,D8;D7,H6,C7,D4;HA,HK,HJ,H4;HQ,S3,H9,H2;SK,SA,SJ,S2;S5,H7,S9,S8;C5,C4,CK,CJ;D6,C6,C3,H8;H3,S10,S7,S6;H5,CA,SQ,S4"
1570124982,1,1,0,"C8,C3,CK,C2;CA,C4,C5,C9;DQ,D9,D8,DJ;D10,H6,D3,D6;H10,H7,H2,HK;S6,S9,S4,S10;H8,C6,HJ,HQ;SJ,SA,S5,S2;S8,S7,SQ,C7;DA,D2,H4,D7;DK,SK,CJ,D4;D5,H9,CQ,HA;C10,H3,S3,H5"
1570124982,1,4,0,"CA,C5,C10,C2;S2,S3,S8,S4;SK,S9,S6,SJ;CJ,C3,C4,C6;CK,C7,C9,C8;S7,S10,S5,SA;D6,DJ,D8,DQ;SQ,H4,D9,HA;DK,D10,D3,D2;D7,D4,D5,H2;H9,H6,HQ,H7;H8,H5,H10,H3;CQ,DA,HJ,HK"
1570124982,1,4,0,"CQ,C4,C5,C2;C8,DJ,CA,C3;S8,S9,SK,S5;S10,S4,CK,S6;CJ,C9,C6,HA;H6,H9,HJ,H2;D6,D4,D9,DQ;D2,DK,D8,DA;S3,SQ,C10,S7;SA,SJ,D10,H10;HK,HQ,H3,H5;H8,D7,D3,H7;H4,S2,D5,C7"
1570124982,1,1,0,"C7,C8,C3,C2;D5,DA,D7,D9;SK,SQ,SA,S5;S3,SJ,S2,S4;CJ,C9,C6,C10;C5,H5,CA,C4;H7,H8,HJ,H9;S9,D4,D8,S10;S6,S7,H10,D2;H4,HA,H2,HQ;HK,H6,H3,D6;CK,D3,DQ,CQ;S8,DK,D10,DJ"
1570124982,1,4,0,"C4,C8,CQ,C2;D5,D9,DQ,D4;DA,D8,DJ,D2;D3,DK,D6,H7;H8,HJ,HQ,H9;H2,H4,H10,H6;SQ,SK,S5,S10;C9,C5,CA,C3;CJ,C7,CK,S7;S6,S2,H3,SJ;D10,D7,S3,C6;HK,SA,S9,HA;C10,H5,S8,S4"
