1569982548,1,2,3,"C4,CJ,CQ,C2;CA,C5,CK,C10;S5,S9,S10,SJ;D9,DJ,D4,D7;D3,D5,C8,D10;C9,C7,C6,S4;C3,S6,HQ,HA;H3,H9,H5,H7;S8,SK,HJ,S7;D8,H2,H8,DA;D2,HK,D6,S2;DQ,H4,H10,SQ;DK,H6,SA,S3"
1569982548,1,0,3,"C3,CK,C10,C2;S7,S6,SK,SJ;DK,D7,DQ,D2;D9,D6,D3,D5;C5,CQ,C8,CJ;S10,S5,S3,SQ;DJ,D8,D4,D10;S4,SA,C7,S2;CA,C6,C4,H9;HK,H6,HQ,H3;HJ,H5,H8,H4;HA,H7,S8,H10;S9,DA,C9,H2"
1569982548,1,20,3,"CQ,C5,C3,C2;SK,S10,S2,SJ;S8,SQ,S5,S4;D5,D8,D4,D7;C10,CK,C8,SA;S7,S3,D10,S6;C6,C4,C9,DK;D9,DJ,DA,D6;CA,D2,DQ,S9;C7,D3,H6,HK;H9,H5,HJ,HQ;H10,H3,HA,H4;H8,H2,H7,CJ"
