1569979589,1,3,0,"CQ,C4,CA,C2;S3,S10,S7,S8;D3,D2,DA,D4;C3,C10,CK,C9;S2,SK,S9,S5;DJ,D9,D7,D8;SQ,S6,DK,SA;D10,DQ,C6,D5;CJ,S4,SJ,D6;C5,H2,H9,HA;H6,H7,H8,H5;H4,H3,C8,HJ;HQ,H10,HK,C7"
1569979589,1,19,0,"CK,C7,CQ,C2;C3,CJ,C8,C4;SA,SK,SQ,S3;S7,C10,S9,S5;D5,DJ,D6,D3;C6,D2,C9,S6;D7,DQ,D8,S2;S4,DA,C5,S8;S10,H10,H4,CA;H9,HQ,HJ,H8;HA,D10,H2,H3;H6,D9,H7,H5;SJ,DK,HK,D4"
1569979589,1,0,0,"C3,CQ,C6,C2;D8,D6,D3,D9;S6,SK,S3,S8;C9,C10,C5,CA;S9,SJ,S7,S10;C8,C7,CJ,DJ;D5,DK,S4,DQ;C4,CK,S5,D4;S2,SA,D10,HQ;H4,H5,H10,H2;HJ,HA,H3,H6;DA,D2,H9,HK;SQ,D7,H7,H8"
1569979589,1,2,0,"CJ,C9,C5,C2;D8,D4,DJ,DQ;SQ,S9,SA,S5;DA,D3,D9,D10;D6,C4,D5,D2;D7,S6,C6,C8;DK,C7,S10,SJ;CK,CA,C3,CQ;S2,HQ,SK,S4;HJ,HA,H9,H7;H3,H8,H2,HK;C10,H4,H10,S8;S3,H5,H6,S7"
1569979589,1,3,0,"C6,C5,CJ,C2;D9,D3,D10,D8;S10,S8,SK,SA;DQ,DJ,D2,DK;S5,S6,S3,SJ;S2,C8,S4,SQ;D6,DA,D4,D5;CA,C4,CQ,C3;S9,H9,S7,H10;H5,C10,HK,H3;H7,C7,HQ,H2;H4,D7,HJ,HA;H8,C9,CK,H6"
1569979589,1,26,0,"C3,C8,C10,C2;S3,SA,SQ,S5;C4,D7,CA,CJ;D6,D3,DA,D10;C7,S10,D5,C9;DJ,DQ,D4,DK;C6,S4,SK,S9;CQ,S2,SJ,D2;CK,HJ,H7,H9;D9,H6,HK,H10;D8,H3,H8,H2;S8,S7,S6,HQ;C5,H4,HA,H5"
1569979589,1,0,0,"CQ,CA,C3,C2;D6,D5,D3,DK;SA,S8,S10,S4;SJ,S3,SQ,DA;C4,CJ,DQ,DJ;S6,D2,SK,S7;S5,D10,C9,S2;S9,D4,C10,C7;D9,H5,C8,D8;HJ,HK,H8,H7;H2,H4,H10,CK;HA,H9,H6,C5;H3,HQ,C6,D7"
1569979589,1,7,0,"CK,C5,C3,C2;C7,S2,C8,CJ;SK,S3,S9,S10;S7,SA,S8,CA;D4,DA,D7,D10;C10,C9,S4,D6;CQ,SQ,D8,D9;C6,S5,H10,H5;H9,H3,HJ,HA;DQ,D3,H2,DJ;D5,H4,HQ,D2;H7,SJ,H8,HK;C4,S6,H6,DK"
1569979589,1,0,0,"CJ,CA,C9,C2;D3,D9,D10,DQ;DA,DK,D8,D2;SK,SA,S3,S2;S10,S4,S6,S5;S9,C7,SQ,S7;DJ,S8,D4,D6;D5,C10,C3,D7;C4,C5,SJ,CQ;C6,CK,C8,H2;H10,H9,H6,H4;H8,H7,HA,HK;H3,HJ,H5,HQ"
