1569978229,1,1,2,"C2,C4,C6,CA;SK,SA,S10,S2;S3,S6,SJ,S7;DK,D9,D6,DJ;DA,D4,D5,C7;D7,D8,D3,C5;S4,S9,S8,SQ;C3,C9,CJ,CK;D2,D10,H7,DQ;H6,H5,HA,H2;H4,HQ,H3,H8;C8,H9,C10,CQ;S5,H10,HK,HJ"
1569978229,1,0,2,"C2,C5,CJ,C8;S2,S9,S5,S10;D2,D8,D3,D10;SA,S3,SJ,SK;S7,CK,S4,SQ;C4,CA,C6,C3;C9,CQ,D4,C10;S8,DK,D6,H4;DJ,DQ,D5,H9;D7,C7,H6,D9;H8,HA,H2,H10;H3,H5,HQ,HK;DA,HJ,H7,S6"
1569978229,1,2,2,"C2,C9,CA,CK;DJ,D8,D6,D4;S6,S2,S5,S7;C5,C3,C8,CQ;SJ,S4,SK,S10;D3,D5,D2,S8;C10,C7,CJ,C6;S3,SQ,C4,SA;S9,H10,HJ,H4;HQ,H5,H8,H3;H2,D10,D7,HA;H7,DA,H9,DK;HK,D9,DQ,H6"
1569978229,1,0,2,"C2,C3,CK,CJ;SQ,S7,SJ,SK;C10,C5,CQ,C7;DJ,D4,D2,D6;DA,D3,S3,D8;S2,S8,S9,S4;CA,C6,D10,C8;C9,D5,DQ,S5;C4,S6,S10,D7;H7,H3,H8,H5;HQ,H9,HK,HJ;H10,HA,H4,H2;D9,SA,DK,H6"
1569978229,1,0,2,"C2,SJ,C10,C8;D2,D4,D10,D3;CQ,SQ,C7,CK;SK,S2,SA,S6;D5,D9,D6,D7;DK,D8,S8,DA;C3,DQ,C4,C9;S5,S7,S10,S9;C6,HK,H8,CA;DJ,H9,H3,HA;H2,H7,H10,HJ;CJ,S3,H4,H6;C5,S4,H5,HQ"
1569978229,1,0,2,"C2,CA,CK,C9;D8,D6,DK,DA;C10,C6,D10,CJ;S5,S7,S3,SK;D5,D4,D9,S10;SJ,S6,S9,S2;D2,CQ,C4,D7;DJ,C3,DQ,S8;S4,SQ,SA,C7;C8,C5,H6,H3;D3,H10,H2,H8;HK,HQ,H4,HJ;H9,HA,H7,H5"
1569978229,1,13,2,"C2,C4,C8,C3;D4,DA,D8,DQ;S6,SJ,S8,SQ;D9,D7,D3,D2;C6,C9,C7,C5;DJ,D6,D10,DK;S7,SK,S9,S10;C10,S4,CK,CJ;CQ,D5,CA,S2;HK,H3,HA,HQ;S5,H7,H5,H8;S3,H2,H10,H9;SA,H6,H4,HJ"
1569978229,1,22,2,"C2,C4,C9,CJ;D2,D7,DA,DJ;S6,SJ,S4,S2;C7,CQ,CK,CA;D8,D5,D9,DQ;C6,S10,C3,C5;C10,DK,C8,D4;S3,S5,S7,SK;H4,HK,H7,HA;H5,H3,D3,HQ;HJ,H9,S9,H2;H8,H6,SA,SQ;H10,S8,D6,D10"
1569978229,1,5,2,"C2,CA,CQ,C9;D4,D9,D3,D8;S3,S10,S8,SQ;C4,C8,C3,CK;DJ,D6,D5,DK;C5,C7,S7,DQ;S9,S6,SA,SJ;D2,D7,C10,DA;C6,S2,CJ,H7;S5,D10,SK,H5;H10,H8,H3,H9;S4,HK,HJ,HA;H2,H6,HQ,H4"
1569978229,1,0,2,"C2,CJ,CQ,C6;DJ,D6,D10,D8;DK,S3,D3,D4;SJ,SA,S5,S6;C8,C5,S4,C3;C10,CA,S9,C9;DQ,S2,D5,CK;S7,S8,S10,SK;C4,D2,HK,H10;C7,D7,H4,H9;H8,H5,HJ,SQ;H2,H6,DA,H7;HQ,H3,D9,HA"
