1569978285,1,13,2,"C2,C6,C5,C4;DA,DJ,D4,DK;C8,C9,CJ,CK;D8,D2,SQ,D3;SJ,SK,S7,S3;D10,SA,S8,D5;D7,S2,C10,D9;S4,S9,S6,S10;CA,DQ,H7,C3;D6,H6,HK,S5;CQ,HJ,HA,HQ;C7,H10,H4,H3;H9,H2,H5,H8"
1569978285,1,0,2,"C2,CA,CK,C7;S4,D10,SJ,S3;D3,DQ,DA,D6;C8,CQ,C5,C6;D7,D8,DK,D5;CJ,C4,C10,C3;S7,SA,D9,SQ;D4,C9,S8,D2;DJ,H5,H6,S10;S6,H3,H4,S9;S2,H7,HK,SK;HA,H8,H9,HJ;S5,H10,HQ,H2"
1569978285,1,13,2,"C2,C6,C3,C4;D10,D4,D3,D8;SQ,S4,SK,SA;CJ,D7,C7,CA;S10,S2,DK,SJ;S5,S7,DJ,S3;DQ,DA,CK,D6;D2,D9,S9,C8;S8,D5,C5,CQ;S6,H7,HQ,HK;H6,HA,H3,H5;H10,H9,H4,H2;C10,H8,HJ,C9"
