1569980813,1,0,1,"CK,C5,CQ,C2;D7,D8,D2,D10;C9,C8,C4,CA;D5,DA,D3,S9;S5,S8,S2,SK;D9,D6,S6,S10;D4,DK,SQ,C6;S7,SJ,DJ,C3;S4,DQ,SA,HK;HQ,HA,HJ,H7;H9,H2,C10,H3;H4,H10,C7,H5;CJ,H6,S3,H8"
1569980813,1,13,1,"CK,CQ,C3,C2;S7,S6,S8,S10;D9,DQ,D5,S4;DK,DA,D3,SJ;C7,CJ,S3,C6;D4,C5,D10,S5;SA,DJ,S9,SK;SQ,D7,C10,S2;D6,D8,C9,C4;CA,HJ,H4,HA;H10,H6,H9,H8;C8,HQ,H2,H3;D2,H5,HK,H7"
1569980813,1,20,1,"C3,CK,C4,C2;S7,S10,SK,SQ;C9,C8,C6,C5;D9,D7,DA,D3;S3,SA,D10,S2;DQ,D8,D6,D5;DK,S4,D4,DJ;C10,CJ,CA,S6;C7,S5,HA,CQ;H4,H10,H5,H3;HQ,H8,D2,HJ;H7,H2,SJ,HK;H9,S9,S8,H6"
1569980813,1,9,2,"C7,C10,C3,C2;S5,SQ,S3,S6;C6,C8,CK,C9;S4,S7,SJ,S9;C5,DA,CJ,D9;D7,D6,D3,D10;DK,D4,DJ,D8;HQ,HK,H7,H3;H6,H10,CQ,H9;S2,S8,SK,H2;SA,S10,H8,HJ;HA,C4,CA,H5;D2,D5,DQ,H4"
1569980813,1,0,2,"C10,C5,C8,C2;S6,S10,SK,SJ;DA,D7,D10,D9;SA,S8,S2,S3;C9,CK,C4,C7;D8,DJ,DQ,D3;CQ,C3,S9,D5;CJ,DK,SQ,HK;H9,H3,H5,HA;H7,H4,H6,HQ;CA,D4,D2,H10;H2,S7,S5,H8;HJ,D6,S4,C6"
