1569982555,1,0,3,"CJ,C3,C9,C2;DK,D3,DJ,D8;S9,S2,S6,SK;CK,C5,C6,C10;SQ,SJ,S5,SA;C4,S8,CQ,CA;D2,D6,D9,DQ;C8,S10,S4,D5;D4,D10,HJ,H2;HK,H9,H5,H6;D7,H8,C7,HA;DA,H10,H7,H3;S7,S3,HQ,H4"
1569982555,1,11,3,"C6,CQ,C8,C2;D8,D6,D2,D4;DK,S6,D5,D7;D9,CA,DA,D10;C5,CK,C10,CJ;S3,S8,SK,S2;C7,C9,C4,S10;SQ,S5,S7,SA;S9,DQ,D3,S4;SJ,H2,C3,H10;H4,H8,HQ,HJ;HA,HK,H6,H3;DJ,H5,H9,H7"
1569982555,1,10,3,"CK,C10,CQ,C2;DQ,C8,D9,D6;D2,S4,DA,D10;C9,CJ,C3,C6;S7,S6,SQ,SA;DJ,D8,S3,D3;D4,D7,C7,S10;S8,S9,S5,SJ;S2,D5,C4,CA;SK,H2,H5,HQ;H4,H7,H6,H8;H10,DK,H3,H9;HA,C5,HK,HJ"
