1569979581,1,4,0,"C10,CJ,C3,C2;S4,S3,S2,S10;D10,DQ,D5,D7;DK,DJ,D8,D6;S9,SJ,S7,C6;C7,CK,CQ,SA;S5,S6,C5,DA;CA,SK,C9,D9;C8,H6,HJ,H9;H5,H4,H7,H10;H3,HQ,HA,H8;C4,S8,HK,D3;D2,SQ,H2,D4"
1569979581,1,10,0,"C10,C3,C9,C2;D2,DQ,D8,D5;DA,DJ,S4,D7;D3,D4,C8,D9;S8,S6,SK,S5;SA,C6,S7,S3;C5,CK,CQ,SQ;CA,D6,S9,SJ;C4,DK,S2,S10;C7,H4,HQ,HA;H6,HJ,H10,HK;H8,H2,CJ,H3;H9,H5,D10,H7"
1569979581,1,0,0,"CK,C7,CJ,C2;D3,D5,D9,DA;C8,D4,C5,C4;C6,S3,C10,CQ;S9,SQ,S6,S5;D7,S10,D8,D2;C9,C3,DJ,CA;S4,SJ,S7,S2;S8,H9,HA,SK;DQ,H4,H5,DK;HQ,H2,HJ,H8;D6,H10,D10,H6;SA,HK,H7,H3"
1569979581,1,0,0,"C7,C5,C4,C2;CJ,C6,CQ,C9;S2,S10,SQ,SJ;CA,C8,C3,CK;C10,DA,D5,DJ;D6,D9,D7,DQ;SK,SA,S4,S9;S7,DK,S6,S5;HQ,H5,H7,H9;HJ,H8,D10,H3;HA,H10,D4,S8;HK,H6,D8,S3;H2,H4,D2,D3"
1569979581,1,4,0,"C10,D6,C6,C2;SA,SK,SQ,DA;D5,S5,D3,D4;CK,SJ,CA,C8;C9,C3,S9,CQ;S10,S3,D10,S6;DK,H6,D7,D2;H8,H2,H4,C4;C7,H5,CJ,DQ;HA,H3,D9,HJ;D8,H7,DJ,S7;S4,H10,S2,HK;S8,HQ,C5,H9"
1569979581,1,4,0,"CQ,CK,CJ,C2;D3,DA,DQ,D10;S4,S3,S9,S7;S5,SK,SJ,SQ;C9,C10,C7,C6;D6,D5,D9,DJ;S6,CA,S10,SA;S2,C5,D4,DK;C3,C4,D2,D8;H8,HK,H7,H6;H9,H3,HQ,H4;H10,H5,C8,HA;H2,D7,HJ,S8"
1569979581,1,0,0,"C9,CQ,C5,C2;S9,S6,S5,SA;D4,D8,D2,DK;SK,SJ,S8,S10;D6,D7,CA,DQ;D9,DA,CK,D5;S2,C8,SQ,S4;D10,DJ,C6,C4;S7,D3,C7,S3;H4,H9,H8,H2;HQ,H3,HJ,H10;H5,HA,HK,H7;CJ,C10,H6,C3"
1569979581,1,0,0,"CA,CQ,C3,C2;S10,SJ,S2,SQ;D3,D10,DK,DQ;C6,D9,C4,C7;C8,CJ,D8,C9;D6,DJ,C10,DA;D2,D7,CK,D4;SK,S4,SA,S5;S3,S9,H4,S6;H2,HK,H5,H9;H7,H8,H6,S8;HQ,H3,HJ,S7;HA,H10,D5,C5"
1569979581,1,20,0,"CQ,CA,C3,C2;D4,D6,DK,D5;C8,C5,CK,D10;S5,S8,S6,SJ;D2,DJ,D9,DA;C4,C9,C6,S4;S9,CJ,S7,SQ;SK,D8,DQ,S10;HK,H4,H2,H8;H6,H9,HJ,SA;H3,H7,HQ,S2;H5,D7,HA,S3;D3,C10,H10,C7"
