1569980807,1,17,1,"C9,CA,CK,C2;D8,D6,D9,D7;S6,S3,S5,SJ;C6,D3,C5,CJ;SQ,CQ,SK,S4;DK,C10,D5,DJ;D2,H10,DA,DQ;SA,H4,C8,S2;HQ,H3,H2,HA;H5,HJ,C4,H6;H8,C3,S7,H7;HK,C7,S8,D10;H9,D4,S10,S9"
1569980807,1,16,3,"C6,CA,CQ,C2;S3,SJ,S9,SK;SQ,S10,S2,S5;S8,CJ,S7,S6;D6,DJ,D2,D8;C5,C3,C10,C8;C7,C9,DQ,CK;S4,H5,HK,H2;H8,D10,HA,H4;H3,D9,H10,H7;HJ,C4,DK,HQ;D4,D7,D3,H6;DA,SA,H9,D5"
1569980807,1,4,3,"C6,CQ,C9,C2;SQ,S2,S6,S10;DQ,D8,D5,D2;D10,D9,DJ,DK;C3,CA,C7,C4;SA,S4,SJ,S5;S3,SK,S8,C8;DA,D7,D3,D4;D6,S7,CK,S9;HK,H3,H7,H2;HA,HJ,H5,HQ;H8,H10,H6,H4;C5,CJ,H9,C10"
1569980807,1,4,3,"C3,C9,CJ,C2;D9,DJ,DA,DQ;S4,S2,S3,SK;D8,D6,DK,D10;C8,C10,CA,C5;S5,SJ,SQ,S10;C4,C7,S9,CQ;D4,D5,CK,D2;C6,H9,D7,H3;H2,H6,H8,HA;SA,HQ,S8,S7;S6,HK,D3,HJ;H7,H5,H10,H4"
1569980807,1,13,3,"CK,CJ,C8,C2;S5,S9,S2,S4;D7,D10,DJ,D4;CQ,C4,C10,C7;C6,C5,DQ,D3;S8,S3,SK,SQ;D9,DK,DA,D5;SJ,S7,D6,S10;S6,SA,D2,CA;C3,HA,H6,H7;HK,H2,H8,HQ;H4,HJ,H10,H5;H9,H3,C9,D8"
1569980807,1,22,3,"CJ,C8,CA,C2;D4,D6,D3,D8;SQ,S6,S8,S3;C9,C6,C10,C3;S4,S5,S2,DA;SK,SJ,C7,SA;DK,S10,D10,DJ;DQ,S9,D2,D9;D5,H2,CK,D7;H8,H9,H6,H4;HK,C4,HA,HQ;H5,CQ,H3,H7;HJ,S7,C5,H10"
