1569982407,1,4,2,"C8,C4,CK,C2;D5,DJ,D7,D6;SJ,S5,S3,S7;C3,DA,CJ,CA;SQ,S8,S4,SK;S2,D10,S9,SA;DQ,H7,D2,D3;S10,H8,S6,H2;D8,H9,D9,H5;H4,HJ,H3,C9;H6,H10,HA,C5;C7,C6,HK,C10;D4,DK,HQ,CQ"
1569982407,1,0,2,"C10,CA,C5,C2;D10,D2,D5,DK;SA,S10,S8,S4;SQ,S7,SJ,S9;S5,SK,S2,S6;C8,CQ,C3,C9;CK,CJ,D6,C6;D4,D8,DA,DJ;DQ,C4,D3,S3;D9,H5,H2,H10;HK,H8,HJ,H9;H6,H7,HQ,H4;C7,HA,D7,H3"
1569982407,1,4,2,"CQ,C3,CK,C2;S4,S8,SQ,SA;DQ,D8,D4,D10;D5,D7,D6,S10;SK,S2,S7,SJ;D2,DJ,DK,C8;S6,C7,S9,S5;C10,C6,CA,C5;DA,D3,D9,C9;S3,C4,CJ,HK;H10,H2,H9,HJ;HA,H3,H4,H8;H5,H7,HQ,H6"
