1569978640,1,0,0,"C2,CQ,C5,C6;S10,SQ,SK,S2;DJ,DK,D10,D6;C9,CK,C7,C3;D5,D7,D4,D2;S7,S5,SA,S3;S4,CJ,CA,SJ;D9,DA,DQ,D3;D8,C8,S8,C4;HQ,HK,H9,H7;H5,HA,H3,H8;H4,HJ,C10,H6;H10,S6,S9,H2"
1569978640,1,13,0,"C2,C5,C7,CJ;D9,D4,DA,D2;SQ,S2,S6,S3;SA,S8,SJ,S10;CA,C4,C8,S9;D5,DK,D8,D10;CK,C10,C6,DQ;C9,S5,S7,D6;CQ,D3,S4,SK;D7,H8,DJ,H3;H7,H10,H6,HK;H5,H4,HA,HJ;HQ,H9,C3,H2"
1569978640,1,18,0,"C2,C7,C9,CA;D7,DJ,D8,D10;S8,S7,S3,SK;D5,D3,DQ,C6;D9,DA,SQ,D4;C10,C4,CJ,CQ;D2,D6,S10,C5;DK,S9,SJ,SA;S4,S2,H9,S6;H3,H7,H6,HJ;H2,HQ,H5,HK;C3,S5,CK,H4;C8,HA,H8,H10"
1569978640,1,2,0,"C2,C6,CK,C7;C10,C4,C5,C9;DJ,D5,D8,D4;S9,S5,S7,SQ;DQ,S3,D6,DK;D3,C8,S6,D10;D2,CJ,CQ,D9;SK,S2,CA,SA;S8,SJ,HJ,HA;H4,H5,H10,HQ;H9,H8,H6,H2;DA,H7,C3,D7;H3,HK,S4,S10"
1569978640,1,4,0,"C2,CA,C8,C5;SJ,S9,S2,S6;S5,S10,S4,SK;D9,DJ,D10,DK;S3,SA,SQ,S7;D6,D5,DA,D3;CK,CJ,C9,C3;S8,D2,CQ,C7;C10,C6,D4,C4;D8,DQ,H7,D7;H2,HQ,HA,HJ;H6,H5,H10,HK;H3,H4,H8,H9"
1569978640,1,23,0,"C2,C4,C8,C6;D8,D9,DK,D2;SJ,S2,S5,S8;SQ,SK,C10,S3;CQ,CA,C7,DJ;C5,CK,C3,D4;D6,DQ,D3,D5;S4,SA,D7,HQ;S7,H2,S6,H7;CJ,C9,H5,H6;S10,H4,S9,H10;HA,DA,H8,H9;HJ,D10,HK,H3"
