1569980817,1,0,2,"C4,CQ,C5,C2;S10,SQ,SJ,S7;DQ,D10,D7,DA;C3,CA,CJ,CK;S4,S6,SA,SK;S2,DJ,D2,S8;D8,D9,C6,D3;C7,C9,C10,C8;S3,D5,H5,D4;HA,H7,H4,H9;S9,H10,H3,H6;HK,HJ,H2,H8;S5,DK,HQ,D6"
1569980817,1,0,2,"CK,C10,D7,C2;DK,D3,DJ,D2;D8,D9,D6,D4;SQ,S8,S5,S10;CJ,S4,C7,C6;CQ,S6,C4,C5;C8,SA,C9,CA;D5,S2,D10,S9;S7,SK,DQ,S3;SJ,HJ,H3,H4;H2,H10,HK,HQ;H5,H7,H9,HA;H6,C3,H8,DA"
1569980817,1,1,2,"C9,C5,CK,C2;SJ,S3,SA,S6;S4,S9,SQ,S2;D2,D4,D10,D7;D5,D6,D9,C7;C8,D3,C3,C6;CA,DA,D8,CQ;S8,DJ,S5,C10;S7,DQ,S10,H7;H6,H8,H9,H5;CJ,HA,DK,H2;SK,H3,H10,H4;C4,HJ,HQ,HK"
1569980817,1,4,2,"CK,CQ,C5,C2;SA,S8,SJ,S6;D4,D3,DJ,D9;DK,S2,D7,DA;SQ,S5,SK,S7;C6,C9,C7,C8;C3,C4,C10,CA;DQ,D6,S9,D10;D8,D5,HJ,D2;H7,H10,H3,HK;HQ,HA,H4,H9;CJ,H8,S3,S10;H6,H2,S4,H5"
1569980817,1,0,2,"C10,CA,C7,C2;D3,D6,D7,DK;S3,SJ,S8,SK;S7,SQ,SA,S5;D9,DJ,C6,D10;D8,D5,C9,D4;C3,CJ,CQ,C8;S10,S9,S6,S4;S2,C5,CK,D2;H4,H2,H6,H7;H3,HQ,H5,H9;HA,HK,H8,HJ;DQ,C4,DA,H10"
1569980817,1,9,2,"CA,C3,C4,C2;D7,D3,D6,D2;D8,D9,D10,DQ;S2,S8,SA,S5;S4,S9,S10,S7;CQ,CK,DA,C7;SQ,SJ,D5,S3;C8,C5,DJ,CJ;C6,D4,C9,H9;H5,H8,HJ,H3;HQ,H4,HK,H2;DK,H10,SK,H7;S6,HA,C10,H6"
1569980817,1,2,2,"CJ,C10,C5,C2;DK,DA,D8,DJ;CK,C8,C7,C4;S4,SA,SJ,S8;D10,D9,C9,D5;DQ,D2,S10,D6;D3,S2,C3,D4;S6,S9,S7,SK;D7,H7,H8,CQ;H2,HK,H3,HJ;H4,HA,H5,H6;HQ,H9,C6,S3;H10,SQ,CA,S5"
1569980817,1,8,2,"C5,C7,C3,C2;S7,SA,C9,S5;S8,DQ,S6,S2;SK,D9,C4,S9;D5,D3,D4,DJ;DK,C6,D8,S3;CK,CJ,CQ,CA;SJ,C10,D2,S4;SQ,H8,D6,S10;HA,H2,H7,HQ;H9,H10,H4,HJ;DA,H6,D7,H5;D10,HK,C8,H3"
