1569980770,1,5,3,"C5,CQ,C6,C2;DA,D8,D3,D10;SJ,S6,S7,S5;S3,S2,S9,CJ;CK,C8,C4,C3;C9,CA,C10,SA;D4,DQ,D9,D2;DK,D6,H10,S4;D5,DJ,H2,HJ;HQ,H5,HK,H3;S10,H7,H9,SQ;H6,HA,H4,D7;H8,S8,C7,SK"
1569980770,1,2,3,"CK,C7,C9,C2;SA,S10,S7,SJ;CJ,CA,C6,C5;DJ,DK,D10,D2;C10,C4,D8,S5;DQ,D6,DA,D9;SQ,S2,S4,D7;D3,CQ,S3,C8;D4,HK,H6,HJ;S6,H2,S8,H8;H5,HA,H10,H9;H3,H7,SK,H4;C3,D5,S9,HQ"
1569980770,1,0,3,"C7,C10,CJ,C2;S10,SK,S4,S9;C4,CQ,D8,C8;DJ,D4,CA,D10;DA,DQ,S6,D2;D7,D3,C9,D5;C3,S5,C6,S7;CK,SQ,S2,S3;C5,HK,H9,SA;HJ,H2,SJ,H3;H8,H7,S8,HQ;H4,H6,D6,H10;H5,HA,D9,DK"
1569980770,1,2,3,"CJ,C10,C7,C2;D5,D6,DK,D2;CQ,CA,C5,C3;S5,S8,SK,S10;SA,SJ,DJ,S3;S7,S6,DA,S4;S9,S2,DQ,D3;SQ,CK,D4,D7;H8,HA,H10,H3;C6,H7,HK,C4;D9,H2,H5,D10;H6,C8,HJ,H9;HQ,C9,H4,D8"
1569980770,1,15,3,"CQ,C8,C3,C2;D6,D5,D7,D10;C5,CK,CJ,C6;DA,D8,DJ,DK;D9,DQ,D4,D2;S4,SK,S3,S9;S7,C7,S6,SA;SQ,C10,S8,S2;SJ,H8,HA,S10;C4,H7,C9,H9;D3,H4,HJ,H10;H5,H2,HQ,H6;HK,CA,H3,S5"
1569980770,1,0,3,"C9,CA,C7,C2;SQ,SJ,S2,S9;S3,D5,SK,S4;C8,C3,C6,C5;D2,D4,D8,DA;D6,DJ,D3,D7;D9,DQ,CQ,D10;S10,C4,S7,S6;SA,DK,CK,S8;C10,HJ,CJ,H2;H9,H8,HA,H4;H5,HK,H6,H10;HQ,H7,H3,S5"
1569980770,1,0,3,"C4,CJ,C7,C2;D6,D8,D10,DK;S9,S5,SA,S7;C3,C9,CA,CK;D4,D2,DA,D9;C5,C6,C8,C10;S10,S8,S6,SJ;D5,H6,DQ,S3;DJ,H3,H2,HA;D3,H10,H9,HK;D7,H8,HQ,S2;H5,H7,S4,SK;HJ,CQ,H4,SQ"
1569980770,1,1,3,"C7,C5,CA,C2;S7,S2,S10,S3;C10,C3,CK,CQ;D8,D4,D3,DJ;SA,S8,S5,SK;D9,D6,D7,D2;D5,C4,DQ,D10;SQ,C6,S9,DA;SJ,C9,HJ,H5;S6,H8,H4,H2;H9,HA,H6,HQ;C8,CJ,H7,S4;H10,H3,DK,HK"
1569980770,1,21,3,"C4,CA,C3,C2;CK,CJ,C7,CQ;SQ,SJ,S5,SK;D8,D5,D9,D4;S8,S7,S4,S9;S6,D10,SA,S10;C6,DJ,C5,D7;C8,DA,S2,DK;D6,DQ,HQ,D2;H8,H4,H9,HJ;H10,H7,H3,HK;C9,HA,H5,S3;C10,H2,D3,H6"
