1571051101,1,0,2,"C9,C3,CQ,C2;CJ,C7,CA,CK;S4,S2,S9,S3;S10,S6,SJ,S5;D3,DK,DQ,D10;D4,D8,D9,D7;S7,S8,SQ,SA;D5,C6,C5,C4;HA,H6,DA,C10;H9,HQ,HK,H3;DJ,H7,H2,H8;C8,H5,H4,HJ;D6,D2,SK,H10"
1571051101,1,18,2,"CQ,C9,C5,C2;SK,S9,S8,SQ;D2,D5,D7,DJ;DK,D3,D8,D10;C3,H9,C7,C6;HJ,H4,H5,HQ;C8,S6,DQ,D9;S10,S5,S3,S4;H10,H7,DA,H2;C10,S7,D4,CK;C4,SJ,HA,CJ;H3,SA,H6,H8;CA,S2,D6,HK"
1571051101,1,5,2,"CA,C9,CJ,C2;C7,C4,C5,CQ;C3,C8,C10,C6;DA,D9,D3,D4;S7,S4,SA,SQ;S10,D5,D8,DQ;S2,D2,S5,S6;S3,D10,S8,SJ;CK,DJ,D7,DK;H10,H4,H3,H5;HJ,SK,HK,S9;H8,H9,HQ,D6;HA,H7,H6,H2"
1571051101,1,0,2,"C3,CQ,CJ,C2;D2,D7,DQ,DJ;SA,SJ,SQ,S9;DA,DK,D6,D8;C9,C10,CA,C4;D10,D4,CK,D5;C5,H6,HJ,C8;HQ,S4,HA,C6;S2,H7,H8,C7;H9,H4,H2,H10;HK,S7,S3,S10;D9,S5,S8,S6;D3,H5,SK,H3"
1571051101,1,22,2,"C10,C5,C9,C2;H3,C3,CK,CA;S10,C4,D9,C8;S2,S9,S7,S5;H6,H5,H4,H2;HK,H10,HQ,H9;DA,SJ,S8,S6;D4,D5,DK,DJ;D8,D7,DQ,D2;D3,C6,H8,D10;D6,C7,S3,CQ;H7,SQ,S4,SK;HJ,CJ,SA,HA"
