1569979536,1,4,1,"C6,C4,C10,C2;S6,S9,S5,S4;CK,CJ,SA,CQ;D4,DQ,D10,DJ;D7,S8,DK,DA;CA,S3,C8,C3;D3,S2,D2,D9;D8,S10,SQ,C5;D5,H7,S7,C9;H9,HA,H10,H8;H5,H3,HJ,HK;D6,SJ,SK,H6;HQ,H4,C7,H2"
1569979536,1,13,1,"C4,C5,CK,C2;D9,DQ,DK,D10;D8,D2,D3,D5;CA,S10,C9,C7;C6,S5,CQ,C3;S6,S4,SK,S2;S3,SA,S7,SJ;SQ,S8,DJ,S9;H8,HA,H6,H5;HK,HJ,H7,H3;H4,H9,CJ,HQ;D6,C10,H2,DA;D4,D7,C8,H10"
1569979536,1,3,1,"C4,CK,CA,C2;DA,DK,D3,D4;D5,DJ,D7,D6;SA,SQ,SK,S3;S4,S8,S5,SJ;D8,DQ,S6,D9;CJ,C5,D2,C10;C7,C8,D10,C3;S2,CQ,S9,S7;H5,HJ,H10,HK;H8,H7,HA,H2;H6,HQ,H4,S10;C6,H9,H3,C9"
1569979536,1,26,1,"C10,C4,CQ,C2;SK,S3,S7,SJ;D4,D9,DA,D7;SQ,S2,S9,S6;C7,S10,C3,C6;S4,S5,D5,SA;DK,D3,DJ,C5;D6,D8,D10,C8;H10,H4,H6,HA;CA,CJ,H7,H2;S8,H5,H3,HQ;HK,C9,H9,HJ;CK,DQ,D2,H8"
1569979536,1,13,1,"C4,C8,C10,C2;SJ,S8,S2,SQ;C7,C3,CJ,C6;SA,S10,S6,S5;D9,D3,DA,DJ;D8,D7,D2,D4;CQ,C5,D5,CK;SK,D6,DQ,S4;S9,H10,H2,S3;HA,HK,HQ,H4;HJ,D10,H9,H6;H7,C9,H3,H5;DK,CA,H8,S7"
1569979536,1,15,1,"C6,CQ,C4,C2;DK,DJ,DA,DQ;C10,C9,C8,CJ;D9,D6,D8,CK;D7,D3,D2,SJ;D10,D4,D5,S10;C5,S5,CA,C3;S6,S3,SA,C7;SK,S9,S4,HK;HQ,H7,H5,H8;H9,HA,H2,H6;S7,S2,HJ,H3;S8,SQ,H10,H4"
1569979536,1,16,1,"CA,C3,C6,C2;D4,D7,D3,D2;S10,SK,SQ,S8;CK,C9,CQ,C8;DK,DA,DJ,S5;C7,C5,D5,C4;CJ,D10,S7,C10;D8,DQ,D6,S2;S4,SJ,S9,S3;D9,H3,HQ,H6;H5,HK,H8,H4;SA,H2,S6,HA;H9,H7,HJ,H10"
1569979536,1,7,1,"C6,CQ,C4,C2;D3,D8,DQ,D9;S2,S9,SK,SQ;C8,C9,C5,C10;SA,S5,S6,DA;D6,DJ,D5,D10;S3,C3,S4,CK;D4,D7,H7,S8;C7,H10,HK,CA;H2,HJ,H4,HQ;CJ,H6,H3,S7;H8,D2,H5,H9;S10,SJ,HA,DK"
1569979536,1,2,1,"C7,CA,C8,C2;CK,C9,C10,C4;S4,SK,S6,SQ;D6,DA,D8,D4;D10,D9,D5,D2;DK,S7,D3,DJ;S5,SJ,S8,S3;S9,S2,C6,DQ;H2,H10,H7,H6;S10,HA,H9,H5;C5,HK,H3,CJ;HJ,SA,HQ,H4;H8,CQ,C3,D7"
1569979536,1,4,1,"C3,C8,C4,C2;D7,D10,DA,D4;S6,S7,S2,SA;C6,C9,C5,CA;S8,S4,SK,S3;CK,DJ,C7,CQ;DQ,D8,SQ,D3;C10,D5,H9,SJ;HJ,HQ,H7,H5;H8,H3,S10,HK;DK,H6,D2,D9;D6,H10,HA,CJ;S5,H2,H4,S9"
