1569979572,1,4,2,"C4,CJ,C8,C2;D9,D5,DK,D3;D4,S5,D8,DJ;S10,SJ,S7,SA;CK,C9,C5,C7;DQ,S8,D6,D10;S6,SQ,S9,S2;CA,C3,CQ,D2;S3,DA,SK,H6;HQ,H7,H9,HA;H8,D7,HK,HJ;H4,C6,H2,H10;H5,C10,S4,H3"
1569979572,1,17,2,"DJ,C7,C5,C2;D10,D9,DA,D2;SQ,SA,SJ,S7;DQ,D3,D5,C9;C3,C8,S10,CK;S2,S9,S4,S5;C6,CA,D7,C10;S8,DK,S6,SK;H8,CQ,HJ,H3;H4,CJ,HA,H10;H6,D6,HK,H9;D4,D8,H2,H7;C4,S3,HQ,H5"
1569979572,1,0,2,"CA,C5,C8,C2;D9,DK,D10,D2;S7,S3,S9,SJ;C10,CK,CQ,S6;DQ,D3,DJ,D4;D6,D5,SA,D8;S4,S8,SQ,S2;DA,H6,HQ,H2;D7,C9,H8,H10;C4,CJ,C6,HK;C7,S5,H3,HA;C3,H5,HJ,H4;H9,S10,SK,H7"
1569979572,1,3,2,"CJ,C10,C6,C2;D4,D6,D10,D9;S9,S5,S10,S6;DA,D8,D5,DQ;C7,C4,CQ,CK;SJ,S4,S8,SK;CA,C9,C8,S2;C3,C5,DJ,SQ;S3,D7,S7,SA;DK,H6,H9,D2;H4,H7,H8,H10;HK,HQ,H2,H5;H3,HJ,HA,D3"
1569979572,1,6,2,"CK,CA,CJ,C2;DQ,D9,D3,DA;S8,S4,S10,S6;DJ,DK,D7,D10;C6,C10,C3,CQ;SA,S5,SQ,C8;SK,SJ,D2,C9;S3,S9,C7,C5;C4,H4,H9,H2;H10,HQ,H5,H7;H6,HA,H3,D6;HJ,H8,D5,S2;D8,HK,D4,S7"
