1569982593,1,16,3,"CQ,C6,C5,C2;DK,D5,DQ,D4;S5,S4,S7,S9;S2,S3,S8,S6;DJ,D9,DA,D3;CK,C3,C8,C10;D10,C4,D7,D2;D8,CA,D6,SQ;C7,CJ,SJ,SA;SK,HA,H6,S10;H9,H10,H8,HQ;HK,H7,H3,H4;H5,HJ,H2,C9"
1569982593,1,0,3,"C10,C6,CA,C2;S2,S3,SJ,SA;C7,C3,C9,C8;D8,D7,DQ,D9;CQ,DJ,C5,D5;S8,S7,S4,S10;S5,S9,S6,SQ;C4,D3,CK,SK;D4,D6,H6,D2;H2,H8,H3,H9;H4,CJ,H7,HK;HQ,D10,HJ,H10;HA,DA,H5,DK"
1569982593,1,9,3,"C8,CQ,CJ,C2;CA,C7,C4,DA;D2,DQ,D5,D3;S7,S5,S6,S8;C3,C9,SK,C10;SQ,S2,S3,SJ;S9,SA,DJ,S10;C5,D6,DK,C6;S4,D4,D7,D10;D8,D9,H9,HJ;HA,HK,H6,H4;CK,H7,HQ,H8;H3,H10,H5,H2"
