1569978650,1,17,1,"C2,C8,C9,C7;DA,D7,D3,D10;S7,SA,S2,SJ;D6,SQ,D4,D5;D8,SK,C6,DK;D2,S10,DQ,CK;CA,S8,D9,C4;C3,S9,S3,C5;S5,S4,S6,CQ;DJ,H4,H5,H6;H8,H3,HQ,HA;C10,HK,H2,CJ;H9,HJ,H7,H10"
1569978650,1,4,1,"C2,C6,CJ,C7;S8,S2,SJ,S4;C9,C5,C3,C8;D2,D3,D5,D8;SA,S9,S7,S6;D10,DJ,D4,DA;C4,CQ,CK,CA;C10,D7,D9,S5;D6,S3,DK,SK;DQ,HQ,H4,HJ;SQ,S10,H6,H3;HA,H5,H9,H10;H7,HK,H8,H2"
1569978650,1,16,1,"C2,C5,C9,C7;D2,DJ,D8,D6;SK,S6,S9,S2;SA,S8,S4,SQ;S10,S3,CQ,D9;D7,DQ,CA,D5;C4,S7,C3,D3;C6,S5,CJ,DA;H3,H9,H10,HJ;HK,H5,HA,C10;D10,HQ,D4,DK;CK,H4,H7,H2;C8,H8,H6,SJ"
1569978650,1,13,1,"C2,C6,CK,C3;S7,S2,S3,S5;S4,S9,S6,SJ;CQ,D2,C7,SQ;D5,DK,D7,D10;SA,S10,SK,C5;DJ,D3,D4,DA;C8,C10,DQ,D6;S8,D8,H6,C4;H5,HJ,H4,H8;HQ,HA,CA,H3;H9,C9,HK,H7;D9,H2,CJ,H10"
1569978650,1,21,1,"C2,CQ,CA,C10;S7,S8,D7,S5;S9,D6,SA,S2;S6,CJ,S3,S4;D5,DJ,D8,DK;D10,D4,D2,D9;CK,C5,S10,SJ;C8,C6,SK,D3;DQ,DA,H2,HQ;H9,H3,H6,HK;SQ,H7,H5,C3;C7,HJ,H8,C4;H10,HA,H4,C9"
1569978650,1,0,1,"C2,C5,C9,C6;D7,D10,D6,DA;SK,SQ,S8,S9;S3,SA,SJ,S6;C10,C3,C4,CQ;D8,DJ,DQ,D9;S4,S2,D5,C8;S10,S5,D3,C7;S7,CK,CJ,D2;H6,H8,HK,H2;D4,HJ,H7,DK;H4,H3,H9,HQ;CA,HA,H10,H5"
1569978650,1,0,1,"C2,C7,CA,C10;SQ,SA,S5,S3;CJ,CQ,C5,C9;S6,S10,S7,S4;D9,D8,D7,DQ;DK,D3,D10,D5;DJ,S8,D6,D2;S9,SK,C4,CK;H3,H4,H2,H9;C6,H6,C3,SJ;DA,H8,HA,S2;D4,H10,H5,HK;H7,HJ,C8,HQ"
1569978650,1,3,1,"C2,C6,CA,CJ;D4,D5,DQ,DJ;S9,S7,SK,S8;C10,CQ,C3,D3;C5,C9,C4,DA;S2,S3,SJ,S5;C7,DK,CK,D10;D9,D2,H4,D7;D8,D6,H2,HK;S6,SA,H9,S10;HQ,H5,H3,H10;SQ,HA,HJ,H6;S4,H7,C8,H8"
1569978650,1,23,1,"C2,C5,S10,CQ;DJ,D10,D9,D8;S8,S7,SK,SQ;S2,S5,S6,SA;C9,C8,S9,CK;C7,C4,S3,CJ;D5,D4,DQ,DK;D7,D3,DA,D2;SJ,C6,S4,CA;HA,HJ,H3,H2;HQ,H7,C10,H10;H9,H6,C3,HK;H4,H5,D6,H8"
1569978650,1,9,1,"C2,C7,C9,C5;DK,D2,D3,D7;DJ,D8,D4,D5;SQ,S8,S6,SJ;D6,D10,DQ,CQ;SK,S9,S2,S3;CK,S7,C10,C6;S10,S4,SA,C8;C3,D9,C4,DA;H2,H9,H3,HK;H8,HQ,H4,HJ;HA,H10,CJ,H7;S5,H5,CA,H6"
