1569980828,1,0,2,"C10,CQ,C7,C2;S2,S9,SA,SJ;C3,CJ,CK,C5;S7,SQ,DA,S4;DQ,D9,D6,D7;DK,D3,D8,D10;S8,C4,S3,S10;C8,D2,CA,SK;C6,S6,HQ,HK;HJ,H9,H8,H3;S5,H5,H7,H2;C9,D4,H4,H10;D5,HA,DJ,H6"
1569980828,1,3,2,"CK,C3,C7,C2;D6,D4,DJ,D7;D10,DQ,DA,DK;S3,SQ,S2,S4;C4,CJ,CA,CQ;D2,C8,D5,S10;SK,SJ,SA,S8;C9,S5,C5,C10;S9,C6,D3,S7;S6,H2,H4,HQ;H10,H7,H5,HA;HJ,H6,HK,D8;H9,H3,D9,H8"
1569980828,1,3,2,"CJ,C10,CQ,C2;D10,D7,DK,D6;SK,SQ,S5,S8;SJ,C3,S4,S9;S2,C7,S3,SA;D2,D3,D9,D8;CK,C4,C5,CA;C9,C8,C6,D5;D4,DA,H9,HA;H3,H7,H8,HQ;DJ,S10,HK,DQ;H6,H5,H4,HJ;S7,S6,H2,H10"
1569980828,1,19,2,"C10,CA,C3,C2;DK,DQ,DA,D10;S2,S9,S6,SK;D7,D8,D5,DJ;S8,S4,C7,SA;D9,CJ,D2,D3;C6,C4,CQ,S10;C5,CK,C8,SJ;C9,D4,S3,HK;H7,H3,HQ,H8;SQ,S5,H2,H10;H6,H4,HA,H9;HJ,D6,S7,H5"
1569980828,1,4,2,"C7,C4,CJ,C2;S2,SK,SA,S6;D9,D10,D6,D2;D3,DQ,D4,D7;C9,CQ,C8,CA;S5,C3,SJ,S9;S7,S3,C5,DA;S4,S8,C10,DJ;S10,CK,D8,D5;SQ,H2,C6,H7;H8,H3,H4,HJ;HK,H9,HQ,HA;DK,H10,H5,H6"
1569980828,1,7,2,"C5,C3,C6,C2;SK,SJ,S2,S3;C9,CJ,CA,C7;D2,D5,D7,D8;S10,SA,S9,S8;D9,DQ,D4,DA;S7,S4,S6,C8;SQ,S5,D6,CK;D10,CQ,DJ,D3;C4,H9,HA,C10;HJ,H7,HK,H10;H6,HQ,H4,H8;H5,DK,H2,H3"
1569980828,1,13,2,"C10,C6,CK,C2;D4,D9,DA,DQ;SK,S5,SJ,S6;CQ,C3,C9,C4;S9,SQ,S7,S4;D8,D3,D2,D7;D5,S3,DK,CA;DJ,C7,D6,S10;D10,C8,S2,S8;C5,CJ,H2,H10;H6,H3,H8,HK;H4,HA,H9,H7;HQ,HJ,H5,SA"
1569980828,1,0,2,"C10,CA,CK,C2;D4,D10,DQ,DJ;S9,S6,S7,S8;CJ,CQ,C9,C7;D9,S5,SK,D5;D3,S4,SJ,D2;D8,SA,C5,D6;D7,C4,C8,DA;C3,H3,C6,S10;HQ,H4,H8,H7;S3,HJ,S2,H6;SQ,H2,H9,HA;HK,H10,DK,H5"
1569980828,1,3,2,"C5,CA,C3,C2;S4,S5,S10,S7;C8,C10,CJ,CQ;D6,D5,D8,D4;DJ,D7,DA,D10;SK,S3,D2,S6;SJ,S8,C4,SA;S9,C6,D9,S2;SQ,CK,DK,DQ;C9,C7,H3,HJ;H5,H9,HQ,H8;HA,H7,H10,HK;H2,D3,H4,H6"
1569980828,1,8,2,"C5,C6,C9,C2;S7,SK,S8,S4;C10,C7,CK,CA;DA,DQ,DK,DJ;D4,D6,D9,D10;SQ,SA,S2,S9;S10,S6,S3,S5;H7,H9,H3,H6;CQ,D5,HQ,C4;HJ,D3,H10,HK;D7,D2,C8,H8;HA,D8,H4,H2;CJ,SJ,C3,H5"
